text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
"-cosmos
4. The formal theory of 2-categories, 2-functors, and 2-natural",9,CMR10,,71,63
transformations,9,CMR10,,15,15
"5. The formal theory of bicategories, normal pseudofunctors, and icons
6. Another",9,CMR10,,81,70
∞,9,CMSY10,,1,1
"-cosmos of bicategories
References",9,CMR10,,34,23
"1
2
6",9,CMR10,,5,1
"8
12
18
21",9,CMR10,,10,2
1.,9,CMR10,,2,2
Introduction,9,CMCSC10,,12,12
"In [S74], Street introduced the notion of an",9,CMR10,,44,44
elementary cosmos,9,CMTI10,,17,17
", axiomatizing the
2-categorical “universe” in which categories live as objects. Inspired by this work,
Riehl and Verity developed a corresponding notion of an",9,CMR10,,159,84
∞,9,CMSY10,,1,1
-cosmos,9,CMTI10,,7,7
", axiomatizing
the (",9,CMR10,,20,14
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
2)-categorical “universe” in which (,9,CMR10,,36,36
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"1)-categories live as objects; see
[RV21] summarizing a previous series of papers. The objects of an",9,CMR10,,100,65
∞,9,CMSY10,,1,1
"-cosmos are
called “",9,CMR10,,20,11
∞,9,CMSY10,,1,1
-categories” — turning the nickname Lurie popularized in his book [Lu09],9,CMR10,,72,72
into a technical term — and the morphisms between them are called “,9,CMR10,,67,67
∞,9,CMSY10,,1,1
"-functors.”
Any",9,CMR10,,15,11
∞,9,CMSY10,,1,1
"-cosmos has a quotient 2-category, called the",9,CMR10,,45,45
homotopy 2-category,9,CMTI10,,19,19
", whose
objects and 1-cells are the",9,CMR10,,35,27
∞,9,CMSY10,,1,1
-categories and,9,CMR10,,15,15
∞,9,CMSY10,,1,1
-functors in the,9,CMR10,,16,16
∞,9,CMSY10,,1,1
"-cosmos and whose
2-cells then deﬁne “",9,CMR10,,38,20
∞,9,CMSY10,,1,1
-natural transformations” between them.,9,CMR10,,39,39
From the axioms of an,9,CMR10,,21,21
∞,9,CMSY10,,1,1
"-cosmos, Riehl and Verity deﬁne the notions of equiva-
lences and adjunctions between its objects — that is, equivalences and adjunctions
between",9,CMR10,,145,82
∞,9,CMSY10,,1,1
"-categories — and limits and colimits of diagrams valued inside an ob-
ject of an",9,CMR10,,81,70
∞,9,CMSY10,,1,1
"-cosmos — that is, limits and colimits inside",9,CMR10,,45,45
∞,9,CMSY10,,1,1
"-categories — and prove
that these recover the standard deﬁnitions from the (",9,CMR10,,77,53
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
1)-categorical literature.,9,CMR10,,26,26
"This work was supported by the NSF via DMS-1652600, by the ARO under MURI Grant
W911NF-20-1-0082, and by the Johns Hopkins President’s Frontier Award program. The au-
thors also wish to thank John Bourke, Alexander Campbell, and Dominic Verity for enlightening
conversations related to this project.",7,CMR8,,299,93
1,6,CMR7,,1,1
2,6,CMR7,,1,1
EMILY RIEHL AND MIRA WATTAL,6,CMR7,,27,27
"They then provide new formal proofs of expected categorical theorems: for instance
that right adjoints between",9,CMR10,,110,82
∞,9,CMSY10,,1,1
-categories preserve limits inside those,9,CMR10,,40,40
∞,9,CMSY10,,1,1
"-categories.
The aim of this program is to provide a “model-independent” foundation of (",9,CMR10,,88,75
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"1)-
category theory.",9,CMR10,,20,16
The axioms of an,9,CMR10,,16,16
∞,9,CMSY10,,1,1
"-cosmos are deliberately very minimal. Consequently, in ad-
dition to the expected examples —",9,CMR10,,93,59
∞,9,CMSY10,,1,1
-cosmoi whose objects are (,9,CMR10,,27,27
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"1)-categories
in some model — there are a variety of “exotic” examples of",9,CMR10,,73,59
∞,9,CMSY10,,1,1
"-cosmoi. In par-
ticular, several models of (",9,CMR10,,45,28
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
2)-categories or even (,9,CMR10,,23,23
∞,9,CMSY10,,1,1
", n",9,CMMI10,,3,3
)-categories give rise to,9,CMR10,,25,25
∞,9,CMSY10,,1,1
"-cosmoi [RV21,",9,CMR10,,14,14
§,9,SFRM1000,,1,1
"E.3], including Ara’s",9,CMR10,,21,21
n,9,CMMI10,,1,1
"-quasi-categories [A14], Rezk’s Θ",9,CMR10,,33,33
n,6,CMMI7,,1,1
"-spaces
[Re10], Barwick’s",9,CMR10,,25,17
n,9,CMMI10,,1,1
"-fold complete Segal spaces [Ba05], and Verity’s",9,CMR10,,48,48
n,9,CMMI10,,1,1
"-complicial
sets [V08]. For each of these models and for each 0",9,CMR10,,63,51
≤,9,CMSY10,,1,1
n <,9,CMMI10,,3,3
∞,9,CMSY10,,1,1
(including,9,CMR10,,10,10
n,9,CMMI10,,1,1
=,9,CMR10,,1,1
∞,9,CMSY10,,1,1
"in
the ﬁnal case), there is an",9,CMR10,,30,27
∞,9,CMSY10,,1,1
-cosmos in which the “,9,CMR10,,22,22
∞,9,CMSY10,,1,1
-categories” are the (,9,CMR10,,22,22
∞,9,CMSY10,,1,1
", n",9,CMMI10,,3,3
")-
categories in that particular model. This suggests the tantalizing possibility that",9,CMR10,,86,83
it might be possible to develop (,9,CMR10,,33,33
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
2)-category theory or (,9,CMR10,,23,23
∞,9,CMSY10,,1,1
", n",9,CMMI10,,3,3
")-category theory
“model-independently” by adapting",9,CMR10,,51,33
∞,9,CMSY10,,1,1
-cosmological methods.,9,CMR10,,22,22
"Of course, all of the theorems proven about arbitrary",9,CMR10,,53,53
∞,9,CMSY10,,1,1
"-cosmoi apply to every
particular example. Thus, for instance, [RV21, 2.4.2] proves that right adjoints
between 2-quasi-categories preserve limits in 2-quasi-categories. What is not clear,
however, is what exactly the",9,CMR10,,217,84
∞,9,CMSY10,,1,1
-cosmological deﬁnitions of adjunctions between,9,CMR10,,47,47
∞,9,CMSY10,,1,1
-categories or limits inside,9,CMR10,,28,28
∞,9,CMSY10,,1,1
"-categories compile out to in the 2-quasi-categories
model.",9,CMR10,,59,52
This motivates the present paper. In addition to the,9,CMR10,,52,52
∞,9,CMSY10,,1,1
-cosmoi of (,9,CMR10,,12,12
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"2)-cat-
egories mentioned above, there are — somewhat curiously — various",9,CMR10,,73,65
∞,9,CMSY10,,1,1
"-cosmoi
whose “",9,CMR10,,15,7
∞,9,CMSY10,,1,1
-categories” are 2-categories or bicategories and whose “,9,CMR10,,57,57
∞,9,CMSY10,,1,1
"-functors” and
“",9,CMR10,,16,14
∞,9,CMSY10,,1,1
"-natural transformations” deﬁne some variety of functor and natural transfor-
In",9,CMR10,,80,77
§,9,SFRM1000,,1,1
"2, we develop two particularly fertile examples: the
mation between them.",9,CMR10,,73,52
∞,9,CMSY10,,1,1
-cosmos 2-,9,CMR10,,10,10
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
"of 2-categories, 2-functors, and 2-natural transformations and the",9,CMR10,,66,66
∞,9,CMSY10,,1,1
-cosmos,9,CMR10,,7,7
I,9,MSBM10,,1,1
con,9,CMSS10,,3,3
"of bicategories, normal pseudofunctors, and icons.",9,CMR10,,50,50
In,9,CMR10,,2,2
§,9,SFRM1000,,1,1
"3, we review the basic formal theory of",9,CMR10,,39,39
∞,9,CMSY10,,1,1
-categories in an,9,CMR10,,17,17
∞,9,CMSY10,,1,1
"-cosmos, recall-
ing the",9,CMR10,,24,16
∞,9,CMSY10,,1,1
-cosmological deﬁnitions of equivalences between,9,CMR10,,48,48
∞,9,CMSY10,,1,1
"-categories, adjunc-
tions between",9,CMR10,,34,20
∞,9,CMSY10,,1,1
"-categories, terminal objects in an",9,CMR10,,35,35
∞,9,CMSY10,,1,1
"-category, and limits in an",9,CMR10,,27,27
∞,9,CMSY10,,1,1
-category. In,9,CMR10,,13,13
§,9,SFRM1000,,1,1
"4 and 5, we explore each of the",9,CMR10,,31,31
∞,9,CMSY10,,1,1
-cosmoi 2-,9,CMR10,,10,10
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
and,9,CMR10,,3,3
I,9,MSBM10,,1,1
con,9,CMSS10,,3,3
"in turn
and describe the varieties of formal 2-category theory and bicategory theory they
encode. We conclude in",9,CMR10,,112,81
§,9,SFRM1000,,1,1
6 with a proposal for further study.,9,CMR10,,36,36
2.,9,CMR10,,2,2
∞,9,CMSY10,,1,1
-cosmoi of 2-categories and bicategories,9,CMCSC10,,40,40
The informal deﬁnition of an,9,CMR10,,28,28
∞,9,CMSY10,,1,1
-,9,CMR10,,1,1
cosmos,9,CMTI10,,6,6
states that it is an “(,9,CMR10,,23,23
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"2)-category with
(",9,CMR10,,18,16
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
"2)-categorical limits,” under a particularly strict interpretation of these terms.
Firstly, an",9,CMR10,,94,82
∞,9,CMSY10,,1,1
"-cosmos is a simplicially-enriched category whose hom-spaces are
quasi-categories, these being a model of (",9,CMR10,,107,64
∞,9,CMSY10,,1,1
",",9,CMMI10,,1,1
1)-categories. An,9,CMR10,,17,17
∞,9,CMSY10,,1,1
"-cosmos must then
possess certain simplicially-enriched limits including a terminal object, products,
and simplicial cotensors. More generally, an",9,CMR10,,146,83
∞,9,CMSY10,,1,1
"-cosmos possesses all simplicially-
enriched limits whose weights are “ﬂexible.”",9,CMR10,,80,44
1,6,CMR7,,1,1
"These ﬂexible weighted limits can be
built inductively as countable inverse limits of towers of pullbacks of products of a",9,CMR10,,122,85
1,6,CMR7,,1,1
"As noted in [RV21, 6.2.7], the term “ﬂexible weighted limits” is a bit of a misnomer, as they
are more precisely analogous to the PIE-limits in 2-category theory than the ﬂexible ones, since
splittings of idempotents are not required.",7,CMR8,,234,96
ON,6,CMR7,,2,2
∞,6,CMSY7,,1,1
-COSMOI OF BICATEGORIES,6,CMR7,,23,23
3,6,CMR7,,1,1
special class of maps in an,9,CMR10,,27,27
∞,9,CMSY10,,1,1
"-cosmos called “isoﬁbrations.” The class of isoﬁbra-
tions is then required to satisfy various closure properties; see [RV21, 1.2.1] for full
details.",9,CMR10,,150,88
"As noted in [RV21, E.1.6], any 2-category with suﬃcient limits deﬁnes an",9,CMR10,,72,72
∞,9,CMSY10,,1,1
"-cos-
mos, whose homotopy 2-category of “",9,CMR10,,41,35
∞,9,CMSY10,,1,1
"-categories,” “",9,CMR10,,15,15
∞,9,CMSY10,,1,1
"-functors,” and “",9,CMR10,,17,17
∞,9,CMSY10,,1,1
"-natural
transformations” is isomorphic to the original 2-category. Morally, a 2-category de-
ﬁnes an",9,CMR10,,101,84
∞,9,CMSY10,,1,1
"-cosmos just when that 2-category admits PIE-limits: products, inserters,
and equiﬁers. However, as discussed in [RV21, E.1.6], slightly more is required. An",9,CMR10,,157,83
∞,9,CMSY10,,1,1
"-cosmos is required to come with a speciﬁed class of 1-cells, the above-mentioned
“isoﬁbrations.” This class must satisfy the closure properties enumerated in [RV21,
1.2.1(ii)]. In particular, the 2-category is required to admit 2-pullbacks and inverse
2-limits of towers of these maps, not merely the corresponding bilimits that can be
constructed as PIE-limits.",9,CMR10,,363,86
An additional requirement of the class of isoﬁbrations in an,9,CMR10,,60,60
∞,9,CMSY10,,1,1
"-cosmos is that
they also deﬁne isoﬁbrations in the homotopy 2-category, in a sense we now recall:",9,CMR10,,98,82
Deﬁnition 2.1.,9,CMBX10,,14,14
A 1-cell,9,CMR10,,8,8
F,9,CMMI10,,1,1
:,9,CMR10,,1,1
A → B,9,CMSY10,,5,5
in a 2-category deﬁnes an,9,CMR10,,25,25
isoﬁbration,9,CMBX10,,11,11
"just
when it possesses the lifting property for invertible 2-cells depicted below:",9,CMR10,,82,77
(2.2),9,CMR10,,5,5
A,6,CMMI7,,1,1
X,9,CMSY10,,1,1
B,6,CMMI7,,1,1
∼,6,CMSY7,,1,1
=,6,CMR7,,1,1
⇓,6,CMSY7,,1,1
β,6,CMMI7,,1,1
F,6,CMMI7,,1,1
=,9,CMR10,,1,1
A,6,CMMI7,,1,1
∃∼,6,CMSY7,,2,2
=,6,CMR7,,1,1
⇓,6,CMSY7,,1,1
α,6,CMMI7,,1,1
X,9,CMSY10,,1,1
L,6,CMMI7,,1,1
A,9,CMSY10,,1,1
F,6,CMMI7,,1,1
B,9,CMSY10,,1,1
.,9,CMMI10,,1,1
"Equivalently, the isoﬁbrations in a 2-category can be characterized as “representably-
deﬁned isoﬁbrations.” A 1-cell",9,CMR10,,117,86
F,9,CMMI10,,1,1
:,9,CMR10,,1,1
A → B,9,CMSY10,,5,5
"is an isoﬁbration just when, for any object",9,CMR10,,43,43
X,9,CMSY10,,1,1
", the induced functor between the hom-categories is an isoﬁbration of categories,
with the right lifting property",9,CMR10,,113,81
A,9,CMSY10,,1,1
B,9,CMSY10,,1,1
A,6,CMMI7,,1,1
α,6,CMMI7,,1,1
β,6,CMMI7,,1,1
1,9,BBOLD10,,1,1
I,9,MSBM10,,1,1
Hom(,9,CMR10,,4,4
X,9,CMSY10,,1,1
",",9,CMMI10,,1,1
A,9,CMSY10,,1,1
),9,CMR10,,1,1
F,6,CMMI7,,1,1
Hom(,9,CMR10,,4,4
X,9,CMSY10,,1,1
",",9,CMMI10,,1,1
B,9,CMSY10,,1,1
),9,CMR10,,1,1
against the inclusion of either endpoint of the free-living isomorphism,9,CMR10,,71,71
I,9,MSBM10,,1,1
.,9,CMR10,,1,1
"But as we shall see, the isoﬁbrations in an",9,CMR10,,43,43
∞,9,CMSY10,,1,1
-cosmos may be a smaller class than,9,CMR10,,35,35
just those maps that deﬁne isoﬁbrations in the homotopy 2-category.,9,CMR10,,67,67
2.1.,9,CMR10,,4,4
"2-categories, 2-functors, and 2-natural transformations.",9,CMBX10,,56,56
"Our ﬁrst ex-
ample might be thought of as an",9,CMR10,,44,31
∞,9,CMSY10,,1,1
-cosmos for strict 2-category theory:,9,CMR10,,37,37
Proposition 2.3.,9,CMBX10,,16,16
The 2-category,9,CMTI10,,14,14
2,9,CMR10,,1,1
-,9,CMTI10,,1,1
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
"of 2-categories, 2-functors, and 2-natural
transformations deﬁnes an",9,CMTI10,,68,42
∞,9,CMSY10,,1,1
-cosmos whose isoﬁbrations are the isoﬁbrations.,9,CMTI10,,48,48
Proof.,9,CMTI10,,6,6
"This 2-category, like any 2-category with limits and colimits, admits a “triv-
ial model structure” due to Lack. In this model structure, the ﬁbrations are the",9,CMR10,,159,80
"isoﬁbrations and the weak equivalences are the equivalences, as deﬁned internally
to the 2-category of 2-categories [La07, 3.3] (see Deﬁnitions 2.1 and 3.1). All ob-
jects are ﬁbrant and coﬁbrant. Moreover, this model structure is enriched over
the folk model structure on categories. Thus we can apply [RV21, E.1.3] using the",9,CMR10,,326,83
4,6,CMR7,,1,1
EMILY RIEHL AND MIRA WATTAL,6,CMR7,,27,27
adjunction,9,CMR10,,10,10
ho,6,CMR7,,2,2
⊥,9,CMSY10,,1,1
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
s,9,CMSS10,,1,1
S,9,MSBM10,,1,1
et,9,CMSS10,,2,2
N,6,CMMI7,,1,1
to obtain an,9,CMR10,,12,12
∞,9,CMSY10,,1,1
"-cosmos of 2-categories, in which the isoﬁbrations are the isoﬁbra-",9,CMR10,,67,67
,9,MSAM10,,0,0
tions.,9,CMR10,,6,6
Remark 2.4.,9,CMBX10,,11,11
The,9,CMR10,,3,3
∞,9,CMSY10,,1,1
-cosmos 2-,9,CMR10,,10,10
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
is cartesian closed as an,9,CMR10,,25,25
∞,9,CMSY10,,1,1
"-cosmos. It satis-
ﬁes the additional axiom of [RV21, 1.2.23], which in this context amounts to the
following observations:",9,CMR10,,123,80
(i) The 2-category,9,CMR10,,18,18
B,9,CMSY10,,1,1
A,6,CMSY7,,1,1
"of 2-functors, 2-natural transformations, and modiﬁ-",9,CMR10,,52,52
cations deﬁnes a right 2-adjoint to the cartesian product.,9,CMR10,,58,58
(ii) Exponentiation preserves isoﬁbrations.,9,CMR10,,43,43
2.2.,9,CMR10,,4,4
"Bicategories, normal pseudofunctors, and icons.",9,CMBX10,,47,47
"The strict 2-functors
are just one variety of homomorphisms between 2-categories or bicategories. Ar-
guably more natural are the",9,CMR10,,129,79
pseudofunctors,9,CMTI10,,14,14
", which preserve composition and iden-
tities up to coherent isomorphism, or the",9,CMR10,,80,41
normal pseudofunctors,9,CMTI10,,21,21
", which preserve
identities strictly and composition up to coherent isomorphism. Lack proves that
either class of functors deﬁnes the 1-cells of a 2-category whose 2-cells are the",9,CMR10,,179,81
icons,9,CMTI10,,5,5
",
the identity-component oplax natural transformations [La10, 3.1].",9,CMR10,,67,65
Deﬁnition 2.5.,9,CMBX10,,14,14
For normal pseudofunctors,9,CMR10,,25,25
"F, G",9,CMMI10,,4,4
:,9,CMR10,,1,1
A → B,9,CMSY10,,5,5
satisfying,9,CMR10,,10,10
F x,9,CMMI10,,3,3
=,9,CMR10,,1,1
Gx,9,CMMI10,,2,2
"for
all objects",9,CMR10,,15,11
x,9,CMMI10,,1,1
∈ A,9,CMSY10,,3,3
", an",9,CMR10,,4,4
icon,9,CMBX10,,4,4
α,9,CMMI10,,1,1
:,9,CMR10,,1,1
F,9,CMMI10,,1,1
⇒,9,CMSY10,,1,1
G,9,CMMI10,,1,1
"is given by the data of a natural transforma-
tion",9,CMR10,,50,45
A,9,CMSY10,,1,1
(,9,CMR10,,1,1
"x, y",9,CMMI10,,4,4
),9,CMR10,,1,1
⇓,6,CMSY7,,1,1
α,6,CMMI7,,1,1
"x,y",4,CMMI5,,3,3
B,9,CMSY10,,1,1
(,9,CMR10,,1,1
"F x, F y",9,CMMI10,,8,8
),9,CMR10,,1,1
F,6,CMMI7,,1,1
G,6,CMMI7,,1,1
for all,9,CMR10,,7,7
"x, y",9,CMMI10,,4,4
∈ A,9,CMSY10,,3,3
satisfying two axioms:,9,CMR10,,22,22
(i) The component of,9,CMR10,,20,20
α,9,CMMI10,,1,1
"x,x",6,CMMI7,,3,3
at id,9,CMR10,,5,5
x,6,CMMI7,,1,1
∈ A,9,CMSY10,,3,3
(,9,CMR10,,1,1
"x, x",9,CMMI10,,4,4
) is the identity 2-cell on,9,CMR10,,27,27
F,9,CMMI10,,1,1
(id,9,CMR10,,3,3
x,6,CMMI7,,1,1
) =,9,CMR10,,3,3
id,9,CMR10,,2,2
F x,6,CMMI7,,3,3
= id,9,CMR10,,4,4
Gx,6,CMMI7,,2,2
=,9,CMR10,,1,1
G,9,CMMI10,,1,1
(id,9,CMR10,,3,3
x,6,CMMI7,,1,1
).,9,CMR10,,2,2
(ii) For all,9,CMR10,,12,12
"x, y, z",9,CMMI10,,7,7
∈ A,9,CMSY10,,3,3
",",9,CMR10,,1,1
◦,6,CMSY7,,1,1
◦,6,CMSY7,,1,1
A,9,CMSY10,,1,1
(,9,CMR10,,1,1
"y, z",9,CMMI10,,4,4
),9,CMR10,,1,1
× A,9,CMSY10,,3,3
(,9,CMR10,,1,1
"x, y",9,CMMI10,,4,4
),9,CMR10,,1,1
A,9,CMSY10,,1,1
(,9,CMR10,,1,1
"x, z",9,CMMI10,,4,4
),9,CMR10,,1,1
A,9,CMSY10,,1,1
(,9,CMR10,,1,1
"y, z",9,CMMI10,,4,4
),9,CMR10,,1,1
× A,9,CMSY10,,3,3
(,9,CMR10,,1,1
"x, y",9,CMMI10,,4,4
),9,CMR10,,1,1
◦,6,CMSY7,,1,1
A,9,CMSY10,,1,1
(,9,CMR10,,1,1
"x, z",9,CMMI10,,4,4
),9,CMR10,,1,1
F,6,CMMI7,,1,1
×,6,CMSY7,,1,1
F,6,CMMI7,,1,1
α,6,CMMI7,,1,1
"y,z",4,CMMI5,,3,3
×,6,CMSY7,,1,1
α,6,CMMI7,,1,1
"x,y",4,CMMI5,,3,3
⇒,6,CMSY7,,1,1
G,6,CMMI7,,1,1
×,6,CMSY7,,1,1
G,6,CMMI7,,1,1
∼,6,CMSY7,,1,1
=,6,CMR7,,1,1
⇒,6,CMSY7,,1,1
G,6,CMMI7,,1,1
=,9,CMR10,,1,1
F,6,CMMI7,,1,1
×,6,CMSY7,,1,1
F,6,CMMI7,,1,1
∼,6,CMSY7,,1,1
=,6,CMR7,,1,1
⇒,6,CMSY7,,1,1
α,6,CMMI7,,1,1
"x,z",4,CMMI5,,3,3
⇒,6,CMSY7,,1,1
F,6,CMMI7,,1,1
G,6,CMMI7,,1,1
B,9,CMSY10,,1,1
(,9,CMR10,,1,1
"F y, F z",9,CMMI10,,8,8
),9,CMR10,,1,1
× B,9,CMSY10,,3,3
(,9,CMR10,,1,1
"F x, F y",9,CMMI10,,8,8
),9,CMR10,,1,1
B,9,CMSY10,,1,1
(,9,CMR10,,1,1
"F x, F z",9,CMMI10,,8,8
),9,CMR10,,1,1
B,9,CMSY10,,1,1
(,9,CMR10,,1,1
"F y, F z",9,CMMI10,,8,8
),9,CMR10,,1,1
× B,9,CMSY10,,3,3
(,9,CMR10,,1,1
"F x, F y",9,CMMI10,,8,8
),9,CMR10,,1,1
B,9,CMSY10,,1,1
(,9,CMR10,,1,1
"F x, F z",9,CMMI10,,8,8
),9,CMR10,,1,1
◦,6,CMSY7,,1,1
"where the unlabelled isomorphisms are the coherences of the normal pseud-
ofunctors",9,CMR10,,83,73
F,9,CMMI10,,1,1
and,9,CMR10,,3,3
G,9,CMMI10,,1,1
.,9,CMR10,,1,1
"There are two independent choices we might make in deﬁning a 2-category with
PIE-limits whose 2-cells are icons. We can take the objects to be the 2-categories or
the bicategories, and we can take the 1-cells to be the pseudofunctors or the normal
pseudofunctors.
In fact, all four possibilities are biequivalent [LP08]. However,
while we can prove that either 2-category of bicategories deﬁnes an",9,CMR10,,397,85
∞,9,CMSY10,,1,1
"-cosmos, the",9,CMR10,,12,12
"2-categories of 2-categories appear not to, as discussed in Remark 2.7.",9,CMR10,,71,71
Proposition 2.6.,9,CMBX10,,16,16
The 2-category,9,CMTI10,,14,14
I,9,MSBM10,,1,1
con,9,CMSS10,,3,3
"of bicategories, normal pseudofunctors, and
icons deﬁnes an",9,CMTI10,,59,43
∞,9,CMSY10,,1,1
"-cosmos, in which the isoﬁbrations are the normal isoﬁbrations.",9,CMTI10,,63,63
ON,6,CMR7,,2,2
∞,6,CMSY7,,1,1
-COSMOI OF BICATEGORIES,6,CMR7,,23,23
5,6,CMR7,,1,1
A,9,CMR10,,1,1
normal isoﬁbration,9,CMBX10,,18,18
is an isoﬁbration admitting chosen lifts that are natural,9,CMR10,,57,57
in,9,CMR10,,2,2
X,9,CMSY10,,1,1
and deﬁned in such a way that the lifts of identity 2-cells are identities.,9,CMR10,,75,75
Proof.,9,CMTI10,,6,6
"The 2-category of bicategories, normal pseudofunctors, and icons is the 2-
category of strict algebras, pseudo morphisms, and algebra 2-cells for a ﬂexible
2-monad on the 2-category of reﬂexive",9,CMR10,,193,80
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
"-graphs. As such it admits all ﬂexible
limits. By [Bo21, A.1], this 2-category then also admits 2-pullbacks of normal
isoﬁbrations, and by a similar argument, limits of towers of normal isoﬁbrations.
Thus it deﬁnes an",9,CMR10,,217,81
∞,9,CMSY10,,1,1
-cosmos,9,CMR10,,7,7
I,9,MSBM10,,1,1
con,9,CMSS10,,3,3
in which the isoﬁbrations are the normal isoﬁ-,9,CMR10,,46,46
,9,MSAM10,,0,0
brations.,9,CMR10,,9,9
"The 2-category of bicategories, pseudofunctors, and icons also deﬁnes an",9,CMR10,,72,72
∞,9,CMSY10,,1,1
"-cos-
mos for a similar reason; in this case the ﬂexible 2-monad is on the category of",9,CMR10,,86,80
C,9,MSBM10,,1,1
at,9,CMSS10,,2,2
-graphs. We prefer to work with normal pseudofunctors as their data is easier,9,CMR10,,77,77
"to enumerate. For instance, a normal pseudofunctor",9,CMR10,,50,50
b,9,CMMI10,,1,1
: 1,9,CMR10,,3,3
→ B,9,CMSY10,,3,3
"is just given by the
data of an object",9,CMR10,,38,20
b,9,CMMI10,,1,1
∈ B,9,CMSY10,,3,3
", while a pseudofunctor",9,CMR10,,23,23
b,9,CMMI10,,1,1
: 1,9,CMR10,,3,3
→ B,9,CMSY10,,3,3
is given by an object,9,CMR10,,21,21
∼,9,CMSY10,,1,1
=,9,CMR10,,1,1
i,9,CMMI10,,1,1
satisfying a,9,CMR10,,12,12
b,9,CMMI10,,1,1
∈ B,9,CMSY10,,3,3
", an endoequivalence",9,CMR10,,20,20
i,9,CMMI10,,1,1
:,9,CMR10,,1,1
b,9,CMMI10,,1,1
→,9,CMSY10,,1,1
b,9,CMMI10,,1,1
", and an invertible 2-cell",9,CMR10,,26,26
β,9,CMMI10,,1,1
: id,9,CMR10,,4,4
b,6,CMMI7,,1,1
coherence condition.,9,CMR10,,20,20
Remark 2.7.,9,CMBX10,,11,11
"The full subcategory of 2-categories, normal pseudofunctors, and
icons is nearly an",9,CMR10,,83,64
∞,9,CMSY10,,1,1
"-cosmos. One can directly verify that this 2-category has PIE-
limits inherited from",9,CMR10,,84,62
I,9,MSBM10,,1,1
con,9,CMSS10,,3,3
". However, the 2-pullback of a normal isoﬁbration is a
bicategory, rather than a 2-category — unless that normal isoﬁbration happens to
be",9,CMR10,,138,80
discrete,9,CMTI10,,8,8
", meaning that each invertible 2-cell has a unique lift. The fact that the
2-category of 2-categories, normal pseudofunctors, and icons admits 2-pullbacks of
discrete isoﬁbrations suggests an alternate potential",9,CMR10,,211,82
∞,9,CMSY10,,1,1
