text,space_num,symbolic_percent,space_percent,num_world,num_columns,front_spaces_perc,back_spaces
"                                              𝑇𝑒 ) variations in individual AGNs with multiple exposures, includ-",46.0,0.5132743362831859,0.48672566371681414,10.0,1.0,0.17490494296577946,0.5703422053231939
                                                                                                                             variations.,125.0,0.08088235294117647,0.9191176470588235,1.0,1.0,0.4752851711026616,0.4828897338403042
"                                              ing 3C 382 (Ballantyne et al. 2014), NGC 5548 (Ursini et al. 2015),",46.0,0.48672566371681414,0.5132743362831859,13.0,1.0,0.17490494296577946,0.5703422053231939
"                                              Mrk 335 (Keek & Ballantyne 2016), NGC 4593 (Ursini et al. 2016;",46.0,0.47706422018348627,0.5229357798165137,12.0,1.0,0.17490494296577946,0.5855513307984791
"                                              Middei et al. 2019a), MCG–5–23–16 (Zoghbi et al. 2017), and 4C",46.0,0.48148148148148145,0.5185185185185186,11.0,1.0,0.17490494296577946,0.5893536121673004
                                              74.26 (Zhang et al. 2018). Zhang et al. (2018) also revisited the first        2 OBSERVATIONS AND DATA REDUCTION,46.0,0.5569620253164557,0.44303797468354433,18.0,5.0,0.17490494296577946,0.3992395437262357
                                              five sources mentioned above using the spectra ratio technique they,46.0,0.5132743362831859,0.48672566371681414,10.0,1.0,0.17490494296577946,0.5703422053231939
"                                              developed. They confirmed the claimed 𝐸 cut variations in 3 of them,           NGC 3227 is a radio-quiet Seyfert 1.5 galaxy (Véron-Cetty & Véron",46.0,0.5894736842105263,0.41052631578947374,23.0,6.0,0.17490494296577946,0.2775665399239544
                                              but disproved those in NGC 4593 and MCG–5–23–16. Despite the                   2006) at z = 0.00391 . In Tab. 1 we list the seven archival NuS-,46.0,0.5343915343915344,0.4656084656084656,25.0,10.0,0.17490494296577946,0.28136882129277563
"                                              limited number of sources, these studies have opened a new win-                TAR observations of NGC 3227. NGC 3227 shows highly variable",46.0,0.5621621621621622,0.4378378378378378,21.0,9.0,0.17490494296577946,0.2965779467680608
"                                              dow to probe the coronal physics. Remarkably, Zhang et al. (2018)              X-ray emission and its absorption feature have been extensively in-",46.0,0.5885416666666666,0.41145833333333337,21.0,8.0,0.17490494296577946,0.26996197718631176
"                                              found that all the 4 AGNs with 𝐸 cut variations confirmed tend to              vestigated in literature. As an example, based on the NuSTAR and",46.0,0.5661375661375662,0.43386243386243384,24.0,8.0,0.17490494296577946,0.28136882129277563
"                                              have larger 𝐸 cut (thus hotter corona) when they brighten and soften           XMM-Newton observations, Turner et al. (2018) found a rapid oc-",46.0,0.5904255319148937,0.40957446808510634,22.0,6.0,0.17490494296577946,0.28517110266159695
"                                              in X-ray. In other words, they show a “hotter-when-brighter” behav-            cultation event in NGC 3227 between two exposures of NuSTAR",46.0,0.5869565217391305,0.4130434782608695,20.0,7.0,0.17490494296577946,0.30038022813688214
"                                                                                                                             (60202002010 and 60202002012), with several absorber zones in-",125.0,0.29411764705882354,0.7058823529411764,8.0,1.0,0.4752851711026616,0.2889733840304183
                                              ★ ericofk@mail.ustc.edu.cn,46.0,0.3472222222222222,0.6527777777777778,2.0,1.0,0.17490494296577946,0.7262357414448669
                                              † jxw@ustc.edu.cn                                                              1   The radio types and the redshifts are from NED: http://ned.ipac.caltech.edu,46.0,0.4068627450980392,0.5931372549019608,13.0,33.0,0.17490494296577946,0.2243346007604563
                                              © 2020 The Authors,46.0,0.234375,0.765625,4.0,1.0,0.17490494296577946,0.7566539923954373
avr_spaces,63.84848484848485,1.0,0.0,1.0,1.0,0.24276990436686255,0.9619771863117871
L2        Jia-Lai Kang et al.,0.0,0.6206896551724138,0.3793103448275862,5.0,5.0,0.0,0.8897338403041826
                                1               2               3              4                5               6                       7,32.0,0.051094890510948905,0.948905109489051,7.0,48.0,0.12167300380228137,0.4790874524714829
                              1      2            3               4            5           6                     7                 8,30.0,0.06060606060606061,0.9393939393939394,8.0,46.0,0.11406844106463879,0.4980988593155894
"Figure 1. NuSTAR light curves (with a bin size of 4 ks) in 3 – 10 keV, 10 – 78 keV bands and the 10 – 78 keV / 3 – 10 keV hardness ratios. The observations,",0.0,0.7692307692307693,0.23076923076923073,37.0,1.0,0.0,0.40684410646387836
"sorted and numbered by observation date (see Tab. 2), are color coded. The vertical dashed lines mark the positions where the x-axis is discontinuous because",0.0,0.8471337579617835,0.15286624203821653,25.0,1.0,0.0,0.40304182509505704
of long intervals between exposures.,0.0,0.8888888888888888,0.11111111111111116,5.0,1.0,0.0,0.8631178707224334
                1 2 3 4                                                                   1 2 3 4,16.0,0.08247422680412371,0.9175257731958762,8.0,34.0,0.060836501901140684,0.6311787072243347
                5 6 7                                                                     5 6 7 8,16.0,0.07216494845360824,0.9278350515463918,7.0,35.0,0.060836501901140684,0.6311787072243347
Figure 2. The 10 – 78 keV / 3 – 10 keV hardness ratio versus 3 – 78 keV count rate. The black lines show simple linear fits to the data points. The observations,0.0,0.79375,0.20625000000000004,34.0,1.0,0.0,0.3916349809885932
are color coded as in Fig. 1.,0.0,0.7931034482758621,0.2068965517241379,7.0,1.0,0.0,0.8897338403041826
"MNRAS 000, 1–8 (2020)",0.0,0.8571428571428571,0.1428571428571429,4.0,1.0,0.0,0.9201520912547528
avr_spaces,7.833333333333333,1.0,0.0,1.0,1.0,0.029784537389100127,0.9619771863117871
                                                                                                                     The High Energy Cutoff Variations                        L3,117.0,0.17613636363636365,0.8238636363636364,6.0,13.0,0.4448669201520912,0.3307984790874525
Table 1. NuSTAR Observation Logs.                                                                        Source spectra are extracted from the same circular regions as the,0.0,0.49707602339181284,0.5029239766081872,16.0,37.0,0.0,0.34980988593155893
"                                                                                                      light curves, using the nuproducts. As for background extraction,",102.0,0.3413173652694611,0.6586826347305389,9.0,1.0,0.38783269961977185,0.3650190114068441
         Source                 ID and No.           Obs. time       Exposure          Flux3−78keV    we use NUSKYBGD developed by Wik et al. (2014) to handle the,9.0,0.5555555555555556,0.4444444444444444,20.0,24.0,0.034220532319391636,0.3840304182509505
                                                                       (ks)       (10−10 𝑒𝑟 𝑔/𝑐𝑚2 /𝑠) spatially variable background of NuSTAR observations (see also,71.0,0.4573170731707317,0.5426829268292683,13.0,4.0,0.26996197718631176,0.376425855513308
"       NGC 3227              60202002002 (1)       2016–11–09          49.8                1.26       Kang et al. 2020, for an example). NuSTAR observations generally",7.0,0.5662650602409639,0.4337349397590361,17.0,27.0,0.026615969581749048,0.36882129277566544
"                             60202002004 (2)       2016–11–25          42.5                1.05       do not suffer from pile-up2 . Meanwhile, we find the low-energy",29.0,0.5151515151515151,0.48484848484848486,16.0,20.0,0.11026615969581749,0.37262357414448666
                             60202002006 (3)       2016–11–29          39.7                1.16,29.0,0.3368421052631579,0.6631578947368422,5.0,17.0,0.11026615969581749,0.6387832699619772
                             60202002008 (4)       2016–12–01          41.8                1.37,29.0,0.3368421052631579,0.6631578947368422,5.0,17.0,0.11026615969581749,0.6387832699619772
                                                                                                      effective area issue for FPMA (Madsen et al. 2020) to be insignificant,102.0,0.3430232558139535,0.6569767441860466,12.0,1.0,0.38783269961977185,0.3460076045627376
                             60202002010 (5)       2016–12–05          40.9                1.38       in all the observations and no low energy excess in FPMA spectra is,29.0,0.514792899408284,0.485207100591716,18.0,20.0,0.11026615969581749,0.35741444866920147
"                             60202002012 (6)       2016–12–09          39.3                1.35       found (see Fig. A1). As a final step, the source spectra are rebinned",29.0,0.52046783625731,0.47953216374269003,18.0,20.0,0.11026615969581749,0.34980988593155893
                             60202002014 (7)       2017–01–21          47.6                 1.8,29.0,0.3263157894736842,0.6736842105263158,5.0,17.0,0.11026615969581749,0.6387832699619772
  SWIFT J2127.4+5654         60001110002 (1)       2012–11–04          49.2                0.58,2.0,0.5157894736842106,0.4842105263157894,7.0,21.0,0.0076045627376425855,0.6387832699619772
                                                                                                      to achieve a minimum of 50 counts bin−1 using grppha.,102.0,0.2838709677419355,0.7161290322580645,10.0,1.0,0.38783269961977185,0.4106463878326996
                             60001110003 (2)       2012–11–05          28.8                0.71          We notice there are (quasi-)simultaneous XMM-Newton obser-,29.0,0.5153374233128835,0.48466257668711654,12.0,22.0,0.11026615969581749,0.3802281368821293
                             60001110005 (3)       2012–11–06          74.6                0.77       vations for both sources (six of NGC 3227 and three of SWIFT,29.0,0.5,0.5,17.0,20.0,0.11026615969581749,0.3840304182509505
                             60001110007 (4)       2012–11–08          42.1                0.82,29.0,0.3368421052631579,0.6631578947368422,5.0,17.0,0.11026615969581749,0.6387832699619772
"                             60402008004 (5)       2018–07–16          71.6                0.83       J2127.4+5654). However, we find slightly different photon indices",29.0,0.5389221556886228,0.4610778443113772,13.0,20.0,0.11026615969581749,0.3650190114068441
                             60402008006 (6)       2018–07–30          72.1                0.85       between most XMM-Newton and NuSTAR exposures for both,29.0,0.5032258064516129,0.49677419354838714,13.0,20.0,0.11026615969581749,0.4106463878326996
                             60402008008 (7)       2018–09–14          72.9                0.66,29.0,0.3368421052631579,0.6631578947368422,5.0,17.0,0.11026615969581749,0.6387832699619772
                             60402008010 (8)       2018–12–30          74.2                0.76,29.0,0.3368421052631579,0.6631578947368422,5.0,17.0,0.11026615969581749,0.6387832699619772
"                                                                                                      sources. Such discrepancy, likely due to the inter-instrument cali-",102.0,0.34911242603550297,0.650887573964497,9.0,1.0,0.38783269961977185,0.35741444866920147
"                                                                                                      bration, is widely found in literature (e.g. Cappi et al. 2016; Ponti",102.0,0.3391812865497076,0.6608187134502924,12.0,1.0,0.38783269961977185,0.34980988593155893
"   ★: For convenience, the observations for each source were sorted and numbered (in parenthesis) by  et al. 2018; Middei et al. 2019b). Additionally, the fact that XMM-",3.0,0.8224852071005917,0.1775147928994083,27.0,2.0,0.011406844106463879,0.35741444866920147
   time.,3.0,0.625,0.375,1.0,1.0,0.011406844106463879,0.9695817490494296
                                                                                                      Newton and NuSTAR exposures are not perfectly simultaneous may,102.0,0.32926829268292684,0.6707317073170731,9.0,1.0,0.38783269961977185,0.376425855513308
                                                                                                      also have played a role due to the intrinsic spectral variation. How-,102.0,0.3391812865497076,0.6608187134502924,12.0,1.0,0.38783269961977185,0.34980988593155893
"volved. However, as further shown in §3, our study on the high-energy                                 ever requiring perfect simultaneity would yield significant loss of the",0.0,0.6936416184971098,0.3063583815028902,22.0,17.0,0.0,0.3422053231939164
cutoff in this work is barely influenced by these complex absorbers.                                  valuable NuSTAR exposure time. Since 𝐸 cut measurement is sensi-,0.0,0.6807228915662651,0.3192771084337349,21.0,18.0,0.0,0.36882129277566544
"   Meanwhile, SWIFT J2127.4+5654, a radio-quiet NLS1 (Mal-                                            tive to the photon index (e.g., Molina et al. 2019; Kang et al. 2020)",3.0,0.6140350877192983,0.38596491228070173,21.0,23.0,0.011406844106463879,0.34980988593155893
"izia et al. 2008) at z = 0.0144, has been observed by NuSTAR in                                       and not all NuSTAR exposures have corresponding XMM-Newton",0.0,0.63125,0.36875,22.0,20.0,0.0,0.3916349809885932
"two campaigns, with four exposures in 2012 and five in 2018. We                                       observations, in this work we do not include those XMM-Newton",0.0,0.6380368098159509,0.3619631901840491,22.0,20.0,0.0,0.3802281368821293
dropped the observation 60402008002 (not listed in Tab. 1) of SWIFT                                   exposures but provide uniform spectral fitting to NuSTAR spectra,0.0,0.6807228915662651,0.3192771084337349,20.0,18.0,0.0,0.36882129277566544
"J2127.4+5654, which has an issue flag = 1, indicating possible con-                                   alone.",0.0,0.5833333333333334,0.41666666666666663,12.0,18.0,0.0,0.5893536121673004
tamination from solar activity or other unexpected issues. Marinucci,0.0,0.8823529411764706,0.11764705882352944,9.0,1.0,0.0,0.7414448669201521
et al. (2014) performed a joint spectral fitting of the four 2012 obser-,0.0,0.8333333333333334,0.16666666666666663,13.0,1.0,0.0,0.7262357414448669
vations with (quasi-)simultaneous XMM-Newton data and an aver-                                        3 SPECTRAL FITTING,0.0,0.5916666666666667,0.4083333333333333,11.0,21.0,0.0,0.5437262357414449
age 𝐸 cut = 108+11  −10,0.0,0.7391304347826086,0.26086956521739135,6.0,2.0,0.0,0.9125475285171103
"                            keV was reported. Besides, using XMM-Newton",28.0,0.5352112676056338,0.46478873239436624,6.0,1.0,0.10646387832699619,0.7300380228136882
"data only, Sanfrutos et al. (2013) reported a partial covering absorber                               Zhang et al. (2018) developed the spectral ratio technique, analo-",0.0,0.7023809523809523,0.29761904761904767,21.0,16.0,0.0,0.3612167300380228
"in SWIFT J2127.4+5654 with 𝑁H = 2 × 1022 𝑐𝑚 −2 and a covering                                         gous to the difference-imaging technique in astronomy, to assist the",0.0,0.6294117647058823,0.37058823529411766,24.0,21.0,0.0,0.35361216730038025
"fraction ∼ 0.43, whereas we find it has negligible effect in NuSTAR                                   study of 𝐸 cut variations. Briefly, if the 𝐸 cut is invariable within two",0.0,0.6628571428571428,0.3371428571428572,26.0,18.0,0.0,0.33460076045627374
"spectra.                                                                                              observations, the ratio of two spectra (primarily exponentially cutoff",0.0,0.4069767441860465,0.5930232558139534,10.0,48.0,0.0,0.3460076045627376
   NuSTAR data reduction is performed using the NuSTAR Data                                           power law) is supposed to be a straight line in log-log space in the,3.0,0.6058823529411764,0.3941176470588236,23.0,22.0,0.011406844106463879,0.35361216730038025
Analysis Software (NuSTARDAS) within the HEAsoft package (ver-                                        spectra ratio plot. So we can notice potential 𝐸 cut variations directly,0.0,0.6666666666666666,0.33333333333333337,20.0,21.0,0.0,0.33840304182509506
"sion 6.26). With CALDB version 20190513, the calibrated and                                           by looking for deviations from the straight line at the high energy",0.0,0.6331360946745562,0.3668639053254438,21.0,22.0,0.0,0.35741444866920147
"cleaned event files are produced with nupipeline. We first extract the                                end (see Zhang et al. 2018, for details). We applied this technique to",0.0,0.686046511627907,0.313953488372093,24.0,17.0,0.0,0.3460076045627376
"light curves using nuproducts, adopting a circular source region with                                 AGNs with multiple archival NuSTAR exposures and took notice of",0.0,0.6909090909090909,0.3090909090909091,20.0,17.0,0.0,0.37262357414448666
"a radius of 60 00 centered on each source, and an annulus from 120 00                                 NGC 3227 and SWIFT J2127.4+5654, of which the spectral ratios",0.0,0.656441717791411,0.34355828220858897,25.0,17.0,0.0,0.3802281368821293
to 200 00 for background extraction. The light curves from FPMA and                                   indicate clear and prominent 𝐸 cut variations as shown in Fig. 3. In,0.0,0.6588235294117647,0.3411764705882353,25.0,18.0,0.0,0.35361216730038025
"FPMB, with the livetime, PSF/EXPOSURE and vignetting correc-                                          this section, we perform spectral fitting to quantify the 𝐸 cut variations",0.0,0.6590909090909091,0.34090909090909094,20.0,22.0,0.0,0.3307984790874525
"tions applied, are then combined using lcmath. The 3 – 10 keV and                                     in both sources.",0.0,0.5677966101694916,0.43220338983050843,16.0,19.0,0.0,0.5513307984790874
"10 – 78 keV light curves, along with the 10 – 78 keV/ 3 – 10 keV                                         Spectral fitting is performed in the 3–78 keV band within XSPEC",0.0,0.6011904761904762,0.39880952380952384,28.0,21.0,0.0,0.3612167300380228
"hardness ratios, are plotted in Fig. 1. Both sources show clear varia-                                (Arnaud 1996), using 𝜒2 statistics and the relative element abun-",0.0,0.688622754491018,0.31137724550898205,22.0,17.0,0.0,0.3650190114068441
"tions in flux (count rate) and spectra shape (hardness ratio), not only                               dances given by Anders & Grevesse (1989). All errors along with",0.0,0.6848484848484848,0.3151515151515152,23.0,16.0,0.0,0.37262357414448666
between but also within the individual exposures. In the plot of hard-                                the upper/lower limits reported throughout the letter are calculated,0.0,0.7,0.30000000000000004,21.0,17.0,0.0,0.35361216730038025
ness ratio (HR) versus count rate (Fig. 2) both sources clearly exhibit                               using Δ𝜒2 = 2.71 criterion (90% confidence range). For each obser-,0.0,0.6904761904761905,0.30952380952380953,23.0,16.0,0.0,0.3612167300380228
"the “softer-when-brighter” pattern. However different individual ex-                                  vation, the spectra obtained by the two NuSTAR modules (FPMA",0.0,0.6975308641975309,0.30246913580246915,17.0,18.0,0.0,0.3840304182509505
"posures appear to follow different “softer-when-brighter” tracks. For                                 and FPMB) are fitted simultaneously, with a cross-normalization",0.0,0.7151515151515152,0.2848484848484848,16.0,17.0,0.0,0.37262357414448666
"instance, Obs. ID 60202002014 (No. 7) of NGC 3227 clearly deviate                                     difference typically less than 5% (Madsen et al. 2015).",0.0,0.6496815286624203,0.35031847133757965,20.0,19.0,0.0,0.40304182509505704
"from other exposures in Fig. 2. See also exposures No. 1 and No. 2,                                      We employ pexrav (Magdziarz & Zdziarski 1995) to describe",0.0,0.6358024691358025,0.3641975308641975,23.0,20.0,0.0,0.3840304182509505
No. 5 and No. 6 of SWIFT J2127.4+5654. Such variations could be                                       the exponentially cutoff power law plus the reflection component.,0.0,0.6526946107784432,0.34730538922155685,21.0,20.0,0.0,0.3650190114068441
"due to the physical or structural changes in the corona which may lead                                For simplicity, the solar element abundance for the reflector and an",0.0,0.6823529411764706,0.3176470588235294,24.0,17.0,0.0,0.35361216730038025
"to different “softer-when-brighter"" tracks (e.g., Sarma et al. 2015),                                 inclination of 𝑐𝑜𝑠𝑖 = 0.45 are adopted (as default of this model)3 .",0.0,0.6882352941176471,0.31176470588235294,22.0,17.0,0.0,0.35361216730038025
stopping us from merging data from different exposures according,0.0,0.875,0.125,9.0,1.0,0.0,0.7566539923954373
to the count rate or hardness ratio. In this work we focus on the anal-                               2  https://heasarc.gsfc.nasa.gov/docs/nustar/nustar_faq.html#pileup,0.0,0.7218934911242604,0.2781065088757396,17.0,17.0,0.0,0.35741444866920147
yses of spectra integrated over individual exposures and investigate                                  3  These two parameters are poorly constrained with NuSTAR spectra if,0.0,0.6900584795321637,0.3099415204678363,20.0,19.0,0.0,0.34980988593155893
"the 𝐸 cut variations between these exposures. Though rapid hardness                                   allowed free to vary, thus are commonly fixed at the default values in many",0.0,0.6779661016949152,0.3220338983050848,24.0,18.0,0.0,0.3269961977186312
"ratio variations within individual exposures are seen, due to limited                                 studies on NuSTAR spectra (e.g. Zhang et al. 2018; Molina et al. 2019;",0.0,0.686046511627907,0.313953488372093,23.0,17.0,0.0,0.3460076045627376
photon counts we are yet unable to explore more rapid 𝐸 cut variations                                Panagiotou & Walter 2020).Through joint fitting XMM-Newton and NuSTAR,0.0,0.695906432748538,0.30409356725146197,22.0,17.0,0.0,0.34980988593155893
"in two sources.                                                                                       spectra of SWIFT J2127.4+5654, Marinucci et al. (2014) reported an iron",0.0,0.4277456647398844,0.5722543352601156,14.0,44.0,0.0,0.3422053231939164
"                                                                                                                                                          MNRAS 000, 1–8 (2020)",154.0,0.10285714285714286,0.8971428571428571,4.0,1.0,0.5855513307984791,0.33460076045627374
avr_spaces,20.14864864864865,1.0,0.0,1.0,1.0,0.07661083136368307,0.9619771863117871
  L4                                      Jia-Lai Kang et al.,2.0,0.29508196721311475,0.7049180327868853,5.0,20.0,0.0076045627376425855,0.7680608365019012
  Table 2. Spectral Fitting Results.,2.0,0.8333333333333334,0.16666666666666663,5.0,1.0,0.0076045627376425855,0.8631178707224334
                             ID and No.           NH                 Γ              𝑅         EW        𝐸pexrav   𝜒𝜈2 (pexrav)   𝐸pexriv    𝜒𝜈2 (pexriv)   𝐸relxill    𝜒𝜈2 (relxill) 𝑘𝑇xillverCp                         𝜒𝜈2 (xillverCp) 𝑘𝑇relxillCp    𝜒𝜈2 (relxillCp),29.0,0.45627376425855515,0.5437262357414449,22.0,50.0,0.11026615969581749,0.0
                                              (1022 𝑐𝑚−2 )                                    (eV)       (keV)                    (keV)                     (keV)                                               (keV)                        (keV),46.0,0.16115702479338842,0.8388429752066116,9.0,77.0,0.17490494296577946,0.07984790874524716
                                                                                                                                 NGC 3227,129.0,0.051094890510948905,0.948905109489051,2.0,1.0,0.49049429657794674,0.4790874524714829
