text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
ABSTRACT,8,TeXGyreTermesX-Bold,,8,8
An ultra-light bosonic particle of mass around 10,9,TeXGyreTermesX-Regular,,49,49
−,7,txsys,,1,1
22,7,TeXGyreTermesX-Regular,,2,2
eV,9,TeXGyreTermesX-Regular,,2,2
/,9,txsys,,1,1
𝑐,9,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
"is of special interest as a dark matter candidate, as it both has particle
physics motivations, and may give rise to notable diﬀerences in the structures on highly non-linear scales due to the manifestation
of quantum-physical wave eﬀects on macroscopic scales, which could address a number of contentious small-scale tensions in
the standard cosmological model,",9,TeXGyreTermesX-Regular,,362,131
Λ,9,txmiaX,,1,1
"CDM. Using a spectral technique, we here discuss simulations of such fuzzy dark matter
(FDM), including the full non-linear wave dynamics, with a comparatively large dynamic range and for larger box sizes than",9,TeXGyreTermesX-Regular,,209,122
"considered previously. While the impact of suppressed small-scale power in the initial conditions associated with FDM has been
studied before, the characteristic FDM dynamics are often neglected; in our simulations, we instead show the impact of the full
non-linear dynamics on physical observables. We focus on the evolution of the matter power spectrum, give ﬁrst results for the
FDM halo mass function directly based on full FDM simulations, and discuss the computational challenges associated with the
FDM equations. FDM shows a pronounced suppression of power on small scales relative to cold dark matter (CDM), which can
be understood as a damping eﬀect due to ‘quantum pressure’. In certain regimes, however, the FDM power can exceed that of
CDM, which may be interpreted as a reﬂection of order-unity density ﬂuctuations occurring in FDM. In the halo mass function,
FDM shows a signiﬁcant abundance reduction below a characteristic mass scale only. This could in principle alleviate the need to
invoke very strong feedback processes in small galaxies to reconcile",9,TeXGyreTermesX-Regular,,1071,128
Λ,9,txmiaX,,1,1
"CDM with the observed galaxy luminosity function, but
detailed studies that also include baryons will be needed to ultimately judge the viability of FDM.",9,TeXGyreTermesX-Regular,,153,99
Key words:,9,TeXGyreTermesX-Bold,,10,10
"dark matter – large-scale structure of Universe – cosmology: theory – galaxies: haloes – methods: numerical –
software: simulations",9,TeXGyreTermesX-Regular,,131,109
1 INTRODUCTION,8,TeXGyreTermesX-Bold,,14,14
"The ‘standard cosmological model’ with cold dark matter and a
cosmological constant (",8,TeXGyreTermesX-Regular,,85,61
Λ,8,txmiaX,,1,1
"CDM) has been extremely successful in
describing a wide variety of cosmological observations across a
broad range of physical scales (e. g. Frenk & White 2012; Bull et al.",8,TeXGyreTermesX-Regular,,171,69
"2016). On small cosmological scales, however, challenges such as the
‘cusp–core problem’, the ‘missing satellite problem’, or the ‘too-big-
to-fail problem’ have sometimes raised questions about the validity
of",8,TeXGyreTermesX-Regular,,210,70
Λ,8,txmiaX,,1,1
"CDM (Weinberg et al. 2015; Del Popolo & Le Delliou 2017;
Boylan-Kolchin et al. 2011). Since physical eﬀects experienced by
baryons can become relevant at these scales, it has proven diﬃcult
to disentangle the apparent discrepancies from baryonic physics. In
addition, even though the cosmological properties of cold dark matter
are constrained extremely well on large scales, its micro-physical
nature is still completely unknown thus far.",8,TeXGyreTermesX-Regular,,439,69
"In light of these small-scale questions and the enduring lack of
any direct detection of the most well-studied dark matter candidates,
in particular weakly interacting massive particles (WIMPs), models",8,TeXGyreTermesX-Regular,,201,69
"based on ultra-light (‘axion-like’) scalar particles have been gaining
interest as alternative dark matter models. Due to their small masses,
quantum eﬀects are expected to cause interesting wave-like behaviour",8,TeXGyreTermesX-Regular,,210,70
★,6,NewTXMI5,,1,1
E-mail:,7,TeXGyreTermesX-Regular,,7,7
simon.may@mpa-garching.mpg.de,7,t1xtt,,29,29
©,7,TeXGyreTermes-Regular,,1,1
2021 The Authors,7,TeXGyreTermesX-Regular,,16,16
"at small (i. e. galactic) scales compared to heavy particles like WIMPs
or compact objects. These eﬀects have also been proposed to elucidate
some of the ‘small-scale problems’ of cold dark matter (CDM); for
example, early numerical simulations showed that ultra-light scalars
form cores in the centres of dark matter haloes (Schive et al. 2014a).
Furthermore, light (pseudo-)scalar particles are a common feature",8,TeXGyreTermesX-Regular,,413,71
"of theories in particle physics, from the original axion in quantum
chromodynamics (QCD) to a plethora of axion-like particles predicted
by uniﬁed and early-universe theories such as string theories (Marsh
2016).",8,TeXGyreTermesX-Regular,,212,68
"The amount of existing work studying structure formation with
CDM utterly dwarfs that of such fuzzy dark matter (FDM), par-
ticularly concerning numerical simulations that reliably probe the
non-linear regime. Computations have been performed using a variety
of approaches and numerical methods, although many attempts were
limited in scope (Zhang et al. 2019; Laguë et al. 2020, table 1).",8,TeXGyreTermesX-Regular,,389,67
"Correspondingly, our understanding of structure formation in FDM
cosmologies is still comparatively spotty compared to CDM, where
decades of experience have led to extremely detailed insights. Apart
from the lower level of research attention, an important reason im-
peding insight into FDM has been that numerically solving the",8,TeXGyreTermesX-Regular,,328,68
"corresponding equations of motion incurs very large computational
costs – much higher than those associated with corresponding calcu-",8,TeXGyreTermesX-Regular,,133,67
lations of,8,TeXGyreTermesX-Regular,,10,10
Λ,8,txmiaX,,1,1
"CDM. In particular, while it has been established that, in",8,TeXGyreTermesX-Regular,,58,58
2,11,TeXGyreTermesX-Regular,,1,1
"Simon May, Volker Springel",11,TeXGyreTermesX-Italic,,26,26
"the limit of large scales (or large particle mass), the FDM equations
are equivalent to the Vlasov–Poisson equations of CDM (Mocz et al.
2018; Widrow & Kaiser 1993), the eﬀects of FDM in (mildly) non-
linear regimes of structure formation are still poorly understood when
compared to CDM.",8,TeXGyreTermesX-Regular,,288,70
"Due to the computational requirements, the cosmological volumes
studied in simulations with full FDM dynamics have been especially
limited (Woo & Chiueh 2009; Schive et al. 2014a; Veltmaat et al.
2018; Mocz et al. 2020), which is an issue that this work seeks to
improve upon. In particular, we would like to carry out simulations
that smoothly connect the non-linear state reached in isolated FDM
haloes to the still linear large-scale structure, thereby bridging, in
particular, the regime of mildly non-linear evolution where diﬀerences
in the temporal evolution compared to CDM can be expected. To this
end, we carry out very large uni-grid FDM simulations with a spectral
method, which fully retains the quantum-mechanical eﬀects. Because
there is still a dearth of precision studies of how FDM compares
to CDM for traditional measures of large-scale structure, we focus
our analysis on central measures of matter clustering, namely the
power spectrum and the halo mass function, and compare to ordinary",8,TeXGyreTermesX-Regular,,1008,70
Λ,8,txmiaX,,1,1
CDM where appropriate.,8,TeXGyreTermesX-Regular,,22,22
"While methods which forego a treatment of the full wave dynamics
have been able to conduct simulations with volumes much closer
to those attainable using traditional",8,TeXGyreTermesX-Regular,,165,64
𝑁,8,NewTXMI,,1,1
"-body and smoothed-particle
hydrodynamics (SPH) approaches for CDM (Schive et al. 2016;
Veltmaat & Niemeyer 2016; Zhang et al. 2018; Nori & Baldi 2018;
Nori et al. 2019), these do not capture inherent wave phenomena
such as interference eﬀects, which can have a signiﬁcant impact on
the overall evolution at least on small scales (Li et al. 2019), leaving
the validity of results obtained in this way unclear in the absence
of similar computations solving the fundamental wave equations. In
particular, while all simulations can easily incorporate the impact of
the suppressed small-scale power spectrum present with FDM in the
initial conditions, such methods either lack the wave nature of FDM
entirely or only approximate it. Using our simulations presented in this
work, we aim to clarify the reliability of such approximative results
by explicitly omitting the suppression in the FDM initial conditions,
starting instead from ‘standard’",8,TeXGyreTermesX-Regular,,941,72
Λ,8,txmiaX,,1,1
"CDM initial conditions. In this way,
we disentangle the two essential physical diﬀerences distinguishing
FDM from CDM in cosmological numerical simulations: the initial
conditions and the non-linear dynamics.",8,TeXGyreTermesX-Regular,,208,67
"This study is structured as follows. In section 2, we brieﬂy review
the theoretical basis for the equations of motion of FDM models. We
then describe our numerical approaches for cosmological simulations",8,TeXGyreTermesX-Regular,,203,67
"of FDM in section 3. In section 4, we turn to an analysis of our
results for the matter power spectrum, while in section 5 we report our
ﬁndings for the halo mass function. Section 6 discusses halo proﬁles,
and section 7 the diﬀerences expected in FDM due to modiﬁcations
of the initial linear theory spectrum relative to",8,TeXGyreTermesX-Regular,,321,71
Λ,8,txmiaX,,1,1
"CDM if this is self-
consistently computed. Finally, we give our conclusions in section 8.",8,TeXGyreTermesX-Regular,,90,69
2 THEORETICAL BACKGROUND,8,TeXGyreTermesX-Bold,,24,24
"Fundamentally, fuzzy dark matter is identical to the well-studied",8,TeXGyreTermesX-Regular,,65,65
"scalar ﬁeld dark matter model, which is perhaps also the simplest
particle-based dark matter model at the theoretical level. Such a model
is described by the simple scalar ﬁeld action",8,TeXGyreTermesX-Regular,,183,71
𝑆,8,NewTXMI,,1,1
=,8,txmiaX,,1,1
∫,8,txexs,,1,1
1,8,TeXGyreTermesX-Regular,,1,1
ℏ,8,txmiaX,,1,1
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
d,8,TeXGyreTermesX-Regular,,1,1
4,7,TeXGyreTermesX-Regular,,1,1
𝑥,8,NewTXMI,,1,1
√,8,txsys,,1,1
−,8,txsys,,1,1
𝑔,8,NewTXMI,,1,1
,8,txexs,,0,0
1,8,TeXGyreTermesX-Regular,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑔,8,NewTXMI,,1,1
𝜇𝜈,7,NewTXMI7,,2,2
(,8,txsys,,1,1
𝜕,8,NewTXMI,,1,1
𝜇,7,NewTXMI7,,1,1
𝜙,8,NewTXMI,,1,1
)(,8,txsys,,2,2
𝜕,8,NewTXMI,,1,1
𝜈,7,NewTXMI7,,1,1
𝜙,8,NewTXMI,,1,1
) −,8,txsys,,3,3
1,8,TeXGyreTermesX-Regular,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑚,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
ℏ,8,txmiaX,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
𝜙,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
−,8,txsys,,1,1
𝜙,8,NewTXMI,,1,1
4,7,TeXGyreTermesX-Regular,,1,1
,8,txexs,,0,0
𝜆,8,NewTXMI,,1,1
ℏ,8,txmiaX,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
MNRAS,7,TeXGyreTermesX-Regular,,5,5
000,7,TeXGyreTermesX-Bold,,3,3
", 1–16 (2021)",7,TeXGyreTermesX-Regular,,13,13
with the metric,8,TeXGyreTermesX-Regular,,15,15
𝑔,8,NewTXMI,,1,1
𝜇𝜈,7,NewTXMI7,,2,2
and its determinant,8,TeXGyreTermesX-Regular,,19,19
𝑔,8,NewTXMI,,1,1
", and the real scalar ﬁeld",8,TeXGyreTermesX-Regular,,26,26
𝜙,8,NewTXMI,,1,1
",
its mass",8,TeXGyreTermesX-Regular,,10,8
𝑚,8,NewTXMI,,1,1
and a coupling strength,8,TeXGyreTermesX-Regular,,23,23
𝜆,8,NewTXMI,,1,1
.,8,TeXGyreTermesX-Regular,,1,1
1,7,TeXGyreTermesX-Regular,,1,1
"This action is to be understood
in the context of quantum ﬁeld theory in a curved spacetime, i. e.",8,TeXGyreTermesX-Regular,,98,66
𝜙,8,NewTXMI,,1,1
"is
a (‘second-quantised’) quantum ﬁeld.",8,TeXGyreTermesX-Regular,,39,36
"The diﬀerence to most earlier studies of scalar ﬁeld dark matter lies
in the chosen parameters, speciﬁcally the mass",8,TeXGyreTermesX-Regular,,116,69
𝑚,8,NewTXMI,,1,1
", which is commonly
assumed to be in the range of 100 GeV–TeV, in line with the concept
of CDM. In contrast, an",8,TeXGyreTermesX-Regular,,111,67
ultra-light,8,TeXGyreTermesX-Italic,,11,11
scalar ﬁeld with a mass around,8,TeXGyreTermesX-Regular,,30,30
𝑚𝑐,8,NewTXMI,,2,2
2,7,TeXGyreTermesX-Regular,,1,1
≈,8,txsys,,1,1
10,8,TeXGyreTermesX-Regular,,2,2
−,7,txsys,,1,1
22,7,TeXGyreTermesX-Regular,,2,2
"eV is under consideration here. This vast diﬀerence in
the considered mass range compared to heavy scalar particles has
drastic phenomenological consequences. Additionally, the ultra-light
particles require a",8,TeXGyreTermesX-Regular,,208,68
non-thermal,8,TeXGyreTermesX-Italic,,11,11
"production mechanism so that the
resulting dark matter is not ultra-hot, but still resembles CDM.",8,TeXGyreTermesX-Regular,,97,64
"The term ‘fuzzy dark matter’, then, is typically used for an ultra-light
scalar ﬁeld",8,TeXGyreTermesX-Regular,,84,72
without,8,TeXGyreTermesX-Italic,,7,7
"self-interactions, i. e.",8,TeXGyreTermesX-Regular,,24,24
𝜆,8,NewTXMI,,1,1
=,8,txmiaX,,1,1
"0. Thus, it corresponds
to a limit (",8,TeXGyreTermesX-Regular,,36,23
𝜆,8,NewTXMI,,1,1
→,8,txsys,,1,1
"0, or zero temperature,",8,TeXGyreTermesX-Regular,,23,23
𝑇,8,NewTXMI,,1,1
→,8,txsys,,1,1
"0) of more general
ultra-light scalar ﬁeld models (see Ferreira 2020, for a review), such
as superﬂuid dark matter. Such models are often called axion-like
particle (ALP) models due to the phenomenological similarity to the
axion of QCD, which yields the same action as eq. (1) originating
from a periodic potential",8,TeXGyreTermesX-Regular,,315,70
𝑉,8,NewTXMI,,1,1
(,8,txsys,,1,1
𝜙,8,NewTXMI,,1,1
) ∝,8,txsys,,3,3
Λ,8,txmiaX,,1,1
4,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
1,8,TeXGyreTermesX-Regular,,1,1
−,8,txsys,,1,1
cos,8,TeXGyreTermesX-Regular,,3,3
(,8,txsys,,1,1
𝜙,5,NewTXMI5,,1,1
/,8,txsys,,1,1
𝑓,5,NewTXMI5,,1,1
𝑎,4,NewTXMI5,,1,1
)),8,txsys,,2,2
for,8,TeXGyreTermesX-Regular,,3,3
𝜙,8,NewTXMI,,1,1
,8,txsys,,0,0
𝑓,8,NewTXMI,,1,1
𝑎,7,NewTXMI7,,1,1
"(see
e. g. Marsh 2016; Hui et al. 2017).",8,TeXGyreTermesX-Regular,,40,35
"In order to perform numerical simulations of the non-linear structure
formation in a universe with FDM, as they are traditionally done for
CDM, it is necessary to use non-relativistic approximations. This is
possible because virial velocities are small compared to",8,TeXGyreTermesX-Regular,,264,69
𝑐,8,NewTXMI,,1,1
"and the
simulations will be restricted to structures forming on scales smaller
than the Hubble horizon",8,TeXGyreTermesX-Regular,,102,70
𝑐,8,NewTXMI,,1,1
/,8,txsys,,1,1
𝐻,8,NewTXMI,,1,1
0,7,TeXGyreTermesX-Regular,,1,1
". Even so, as will be detailed later, FDM
simulations are only possible with massively increased computational
cost compared to CDM.",8,TeXGyreTermesX-Regular,,132,68
"As sketched, for example, in Marsh (2016); Hui et al. (2017), the
non-relativistic equations of motions for the fuzzy dark matter ﬁeld
can be obtained as follows. First, the real scalar ﬁeld is rewritten in
terms of a complex ﬁeld",8,TeXGyreTermesX-Regular,,230,71
𝜓,8,NewTXMI,,1,1
as,8,TeXGyreTermesX-Regular,,2,2
√︄,8,txexs,,2,2
"1
2",8,TeXGyreTermesX-Regular,,3,1
ℏ,8,txmiaX,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
𝑐,8,NewTXMI,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑚,8,NewTXMI,,1,1
𝜙,8,NewTXMI,,1,1
=,8,txmiaX,,1,1
,8,txexs,,0,0
𝜓,8,NewTXMI,,1,1
e,8,TeXGyreTermesX-Regular,,1,1
−,7,txsys,,1,1
i,7,TeXGyreTermesX-Regular,,1,1
𝑚𝑐,5,NewTXMI5,,2,2
2,5,TeXGyreTermesX-Regular,,1,1
ℏ,5,txmiaX,,1,1
𝑡,7,NewTXMI7,,1,1
,8,txexs,,0,0
Re,8,TeXGyreTermesX-Regular,,2,2
=,8,txmiaX,,1,1
𝜓,8,NewTXMI,,1,1
e,8,TeXGyreTermesX-Regular,,1,1
−,7,txsys,,1,1
i,7,TeXGyreTermesX-Regular,,1,1
𝑚𝑐,5,NewTXMI5,,2,2
2,5,TeXGyreTermesX-Regular,,1,1
ℏ,5,txmiaX,,1,1
𝑡,7,NewTXMI7,,1,1
+,8,txsys,,1,1
𝜓,8,NewTXMI,,1,1
∗,7,txsys,,1,1
e,8,TeXGyreTermesX-Regular,,1,1
i,7,TeXGyreTermesX-Regular,,1,1
𝑚𝑐,5,NewTXMI5,,2,2
2,5,TeXGyreTermesX-Regular,,1,1
ℏ,5,txmiaX,,1,1
𝑡,7,NewTXMI7,,1,1
,8,txexs,,0,0
.,8,NewTXMI,,1,1
(2),8,TeXGyreTermesX-Regular,,3,3
√︄,8,txexs,,2,2
,8,txexs,,0,0
ℏ,8,txmiaX,,1,1
3,7,TeXGyreTermesX-Regular,,1,1
𝑐,8,NewTXMI,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑚,8,NewTXMI,,1,1
"Next, the non-relativistic limit is taken, with the perturbed Fried-
mann–Robertson–Walker (FRW) metric",8,TeXGyreTermesX-Regular,,103,68
,8,txexs,,0,0
d,8,TeXGyreTermesX-Regular,,1,1
𝑠,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
=,8,txmiaX,,1,1
1,8,TeXGyreTermesX-Regular,,1,1
+,8,txsys,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
Φ,8,txmiaX,,1,1
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
,8,txexs,,0,0
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
d,8,TeXGyreTermesX-Regular,,1,1
𝑡,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
−,8,txsys,,1,1
𝑎,8,NewTXMI,,1,1
(,8,txsys,,1,1
𝑡,8,NewTXMI,,1,1
),8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
,8,txexs,,0,0
1,8,TeXGyreTermesX-Regular,,1,1
−,8,txsys,,1,1
,8,txexs,,0,0
2,8,TeXGyreTermesX-Regular,,1,1
Φ,8,txmiaX,,1,1
𝑐,8,NewTXMI,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
",",8,NewTXMI,,1,1
d,8,TeXGyreTermesX-Regular,,1,1
x,8,TeXGyreTermesX-BoldItalic,,1,1
where,8,TeXGyreTermesX-Regular,,5,5
𝑎,8,NewTXMI,,1,1
is the scale factor and,8,TeXGyreTermesX-Regular,,23,23
Φ,8,txmiaX,,1,1
corresponds to the Newtonian,8,TeXGyreTermesX-Regular,,28,28
potential. This results in the Schrödinger equation,8,TeXGyreTermesX-Regular,,51,51
,8,txexs,,0,0
i,8,TeXGyreTermesX-Regular,,1,1
ℏ,8,txmiaX,,1,1
𝜕,8,NewTXMI,,1,1
𝑡,7,NewTXMI7,,1,1
𝜓,8,NewTXMI,,1,1
+,8,txsys,,1,1
𝐻𝜓,8,NewTXMI,,2,2
=,8,txmiaX,,1,1
−,8,txsys,,1,1
∇,8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
𝜓,8,NewTXMI,,1,1
+,8,txsys,,1,1
𝑚,8,NewTXMI,,1,1
Φ,8,txmiaX,,1,1
"𝜓,",8,NewTXMI,,2,2
,8,txexs,,0,0
"3
2",8,TeXGyreTermesX-Regular,,3,1
ℏ,8,txmiaX,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑚,8,NewTXMI,,1,1
where,8,TeXGyreTermesX-Regular,,5,5
Φ,8,txmiaX,,1,1
obeys the usual Poisson equation.,8,TeXGyreTermesX-Regular,,33,33
"Since the scalar particles are bosons with low velocities, most of
the particles will be in the ground state. This enables the use of the
mean ﬁeld approximation, where",8,TeXGyreTermesX-Regular,,168,70
𝜓,8,NewTXMI,,1,1
"in eq. (4) is interpreted as the
single macroscopic wave function of a Bose-Einstein condensate with
mass density",8,TeXGyreTermesX-Regular,,113,67
𝜌,8,NewTXMI,,1,1
=,8,txmiaX,,1,1
𝑚,8,NewTXMI,,1,1
|,8,txsys,,1,1
𝜓,8,NewTXMI,,1,1
|,8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
.,8,NewTXMI,,1,1
"Equation (4) and the Poisson equation can additionally be rewritten
using the ‘comoving’ quantities",8,TeXGyreTermesX-Regular,,99,67
(5),8,TeXGyreTermesX-Regular,,3,3
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
=,8,txmiaX,,1,1
𝑎,8,NewTXMI,,1,1
3,4,TeXGyreTermesX-Regular,,1,1
/,7,txsys,,1,1
2,4,TeXGyreTermesX-Regular,,1,1
"𝜓,",8,NewTXMI,,2,2
∇,8,txsys,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
=,8,txmiaX,,1,1
𝑎,8,NewTXMI,,1,1
∇,8,txsys,,1,1
",",8,NewTXMI,,1,1
Φ,8,txmiaX,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
=,8,txmiaX,,1,1
𝑎,8,NewTXMI,,1,1
Φ,8,txmiaX,,1,1
",",8,NewTXMI,,1,1
(6),8,TeXGyreTermesX-Regular,,3,3
(3),8,TeXGyreTermesX-Regular,,3,3
(4),8,TeXGyreTermesX-Regular,,3,3
1,6,TeXGyreTermesX-Regular,,1,1
𝑐,7,NewTXMI7,,1,1
and,7,TeXGyreTermesX-Regular,,3,3
ℏ,7,txmiaX,,1,1
have the usual meanings of the speed of light in vacuum and the,7,TeXGyreTermesX-Regular,,63,63
"reduced Planck constant, and are explicitly included in all equations.",7,TeXGyreTermesX-Regular,,70,70
(1),8,TeXGyreTermesX-Regular,,3,3
3,11,TeXGyreTermesX-Regular,,1,1
(15),8,TeXGyreTermesX-Regular,,4,4
(16),8,TeXGyreTermesX-Regular,,4,4
Structure formation in large-volume cosmological FDM simulations: Impact of non-linear dynamics,11,TeXGyreTermesX-Italic,,95,95
to yield the non-linear Schrödinger–Poisson system of equations:,8,TeXGyreTermesX-Regular,,64,64
2,7,TeXGyreTermesX-Regular,,1,1
smaller perturbations oscillate. The comoving Jeans wave number,8,TeXGyreTermesX-Regular,,63,63
𝑘,8,NewTXMI,,1,1
J,7,TeXGyreTermesX-Regular,,1,1
at some redshift,8,TeXGyreTermesX-Regular,,16,16
𝑧,8,NewTXMI,,1,1
is given by (Hu et al. 2000),8,TeXGyreTermesX-Regular,,28,28
i,8,TeXGyreTermesX-Regular,,1,1
ℏ,8,txmiaX,,1,1
𝜕,8,NewTXMI,,1,1
𝑡,7,NewTXMI7,,1,1
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
"𝑡,",8,NewTXMI,,2,2
x,8,TeXGyreTermesX-BoldItalic,,1,1
),8,txsys,,1,1
=,8,txmiaX,,1,1
−,8,txsys,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
"𝑡,",8,NewTXMI,,2,2
x,8,TeXGyreTermesX-BoldItalic,,1,1
) +,8,txsys,,3,3
Φ,8,txmiaX,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
"𝑡,",8,NewTXMI,,2,2
x,8,TeXGyreTermesX-BoldItalic,,1,1
),8,txsys,,1,1
ℏ,8,txmiaX,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
2,8,TeXGyreTermesX-Regular,,1,1
𝑚𝑎,8,NewTXMI,,2,2
(,8,txsys,,1,1
𝑡,8,NewTXMI,,1,1
),8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
∇,8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
"𝑚
𝑎",8,NewTXMI,,3,1
(,8,txsys,,1,1
𝑡,8,NewTXMI,,1,1
),8,txsys,,1,1
∇,8,txsys,,1,1
"2
c",7,TeXGyreTermesX-Regular,,3,1
Φ,8,txmiaX,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
"𝑡,",8,NewTXMI,,2,2
x,8,TeXGyreTermesX-BoldItalic,,1,1
),8,txsys,,1,1
=,8,txmiaX,,1,1
4,8,TeXGyreTermesX-Regular,,1,1
𝜋𝐺𝑚,8,NewTXMI,,3,3
|,8,txsys,,1,1
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
"𝑡,",8,NewTXMI,,2,2
x,8,TeXGyreTermesX-BoldItalic,,1,1
)|,8,txsys,,2,2
2,7,TeXGyreTermesX-Regular,,1,1
− |,8,txsys,,3,3
𝜓,8,NewTXMI,,1,1
c,7,TeXGyreTermesX-Regular,,1,1
|,8,txsys,,1,1
2,7,TeXGyreTermesX-Regular,,1,1
(,8,txsys,,1,1
𝑡,8,NewTXMI,,1,1
),8,txsys,,1,1
,8,txexs,,0,0
,8,txexs,,0,0
(7),8,TeXGyreTermesX-Regular,,3,3
(8),8,TeXGyreTermesX-Regular,,3,3
𝑘,8,NewTXMI,,1,1
J,7,TeXGyreTermesX-Regular,,1,1
=,8,txmiaX,,1,1
,8,txexs,,0,0
6,8,TeXGyreTermesX-Regular,,1,1
Ω,8,txmiaX,,1,1
m,7,TeXGyreTermesX-Regular,,1,1
1,8,TeXGyreTermesX-Regular,,1,1
+,8,txsys,,1,1
𝑧,8,NewTXMI,,1,1
,8,txexs,,0,0
1,4,TeXGyreTermesX-Regular,,1,1
/,7,txsys,,1,1
4,4,TeXGyreTermesX-Regular,,1,1
,8,txexs,,0,0
