text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
0,9,NimbusRomNo9L-Regu,,1,1
.,9,rtxmi,,1,1
3,9,NimbusRomNo9L-Regu,,1,1
−,9,txsy,,1,1
8,9,NimbusRomNo9L-Regu,,1,1
.,9,rtxmi,,1,1
"0 keV band. A forte of SXT is in providing undistorted spectra of relatively
bright X-ray sources, in which it excels some current large CCD-based X-ray telescopes. Here, we highlight some
of the published spectral and timing results obtained using the SXT data to demonstrate the capabilities and overall
performance of this telescope.",9,NimbusRomNo9L-Regu,,336,116
Keywords.,9,NimbusRomNo9L-Medi,,9,9
"galaxies: active—novae, cataclysmic variables—space vehicles: instruments —telescopes—X-rays:
binaries—X-rays: stars.",9,NimbusRomNo9L-Regu,,117,93
1. Introduction,10,NimbusRomNo9L-Medi,,15,15
The,10,NimbusRomNo9L-Regu,,3,3
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"observatory is the ﬁrst dedicated Indian
astronomy satellite (Agrawal, 2006; Singh",10,NimbusRomNo9L-Regu,,82,41
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2014;
Seetha & Megala, 2017; Singh & Bhattacharya, 2017),
with the Soft X-ray Telescope (SXT",10,NimbusRomNo9L-Regu,,95,51
1,7,NimbusRomNo9L-Regu,,1,1
"), which is the ﬁrst
Indian X-ray telescope in space, on board (Singh",10,NimbusRomNo9L-Regu,,69,48
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2016, 2017a).",10,NimbusRomNo9L-Regu,,16,13
"Cosmic X-rays are reﬂected by two sets of co-axial
nested mirrors in SXT. The ﬁrst set has conically ap-
proximated paraboloid surfaces and the second set has
conically approximated hyperboloid surfaces. This is
an approximate Wolter I geometry (Wolter, 1952), with
a cooled charge coupled device (CCD) camera at the fo-
cal plane. Multiple instruments",10,NimbusRomNo9L-Regu,,352,54
/,10,rtxr,,1,1
telescopes of,10,NimbusRomNo9L-Regu,,13,13
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"can simultaneously observe a source in a wide energy
range from optical to hard X-rays (up to",10,NimbusRomNo9L-Regu,,93,52
∼,10,txsy,,1,1
"100 keV;
Seetha & Megala, 2017), and SXT covers the crucial",10,NimbusRomNo9L-Regu,,59,50
soft X-ray band (,10,NimbusRomNo9L-Regu,,17,17
∼,10,txsy,,1,1
0,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
3,10,NimbusRomNo9L-Regu,,1,1
−,10,txsy,,1,1
8,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
0 keV; Singh,10,NimbusRomNo9L-Regu,,12,12
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2017b)",10,NimbusRomNo9L-Regu,,9,9
in this range. This telescope has the following modest,10,NimbusRomNo9L-Regu,,54,54
1,5,NimbusRomNo9L-Regu,,1,1
https:,8,NimbusRomNo9L-Regu,,6,6
//,8,rtxr,,2,2
www.tifr.res.in,8,NimbusRomNo9L-Regu,,15,15
/,8,rtxr,,1,1
∼,8,txsy,,1,1
astrosat sxt,8,NimbusRomNo9L-Regu,,12,12
/,8,rtxr,,1,1
index.html,8,NimbusRomNo9L-Regu,,10,10
©,8,rtcxr,,1,1
Indian Academy of Sciences,8,NimbusRomNo9L-Regu,,26,26
"capabilities (Singh & Bhattacharya, 2017; Singh",10,NimbusRomNo9L-Regu,,47,47
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2017a,b): (1) the maximum e",10,NimbusRomNo9L-Regu,,30,27
ﬀ,10,rtxr,,1,1
ective area of,10,NimbusRomNo9L-Regu,,14,14
∼,10,txsy,,1,1
90 cm,10,NimbusRomNo9L-Regu,,5,5
2,7,NimbusRomNo9L-Regu,,1,1
at,10,NimbusRomNo9L-Regu,,2,2
∼,10,txsy,,1,1
1,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
5 keV; (2) an energy resolution of 80,10,NimbusRomNo9L-Regu,,37,37
−,10,txsy,,1,1
"150 eV in
the 0",10,NimbusRomNo9L-Regu,,15,9
.,10,rtxmi,,1,1
3,10,NimbusRomNo9L-Regu,,1,1
−,10,txsy,,1,1
8,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
"0 keV range; (3) time resolutions of 2.37 s
in the Photon Counting (PC) mode and of 0.278 s in the
Fast Window (FW) mode; (4) the ﬁeld of view of 40 ar-
cmin square; and (5) the Point Spread Function (PSF)
having a Full Width Half Maximum of",10,NimbusRomNo9L-Regu,,241,54
∼,10,txsy,,1,1
100 arcsec,10,NimbusRomNo9L-Regu,,10,10
and the half encircled energy radius of,10,NimbusRomNo9L-Regu,,39,39
∼,10,txsy,,1,1
5,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
"5 arcmin.
However, SXT has a much smaller pile-up compared to
current large soft X-ray imaging telescopes, and hence
is ideal to observe bright X-ray point sources.",10,NimbusRomNo9L-Regu,,164,54
"this telescope,",10,NimbusRomNo9L-Regu,,15,15
"These make SXT capable, as an independent tele-
scope, to study continuum spectra, broad and somewhat
narrow spectral lines and variations with timescales of
seconds and above of various types of cosmic sources.
Furthermore,
jointly with the Large
Area X-ray Proportional Counters (LAXPC) and the",10,NimbusRomNo9L-Regu,,296,55
Cadmium-Zinc-Telluride Imager (CZTI) aboard,10,NimbusRomNo9L-Regu,,43,43
As-,10,NimbusRomNo9L-ReguItal,,3,3
troSat,10,NimbusRomNo9L-ReguItal,,6,6
", or jointly with any other hard X-ray instru-
ment or telescope, such as",10,NimbusRomNo9L-Regu,,73,46
NuSTAR,10,NimbusRomNo9L-ReguItal,,6,6
", can observe the
broadband X-ray spectrum of cosmic sources, and can
uniquely contribute to the estimation of the hydrogen",10,NimbusRomNo9L-Regu,,123,53
1,8,NimbusRomNo9L-Regu,,1,1
#### Page 2 of 1,9,NimbusRomNo9L-Regu,,16,16
J. Astrophys. Astr.,9,NimbusRomNo9L-ReguItal,,19,19
(0000),9,NimbusRomNo9L-Regu,,6,6
000,9,NimbusRomNo9L-Medi,,3,3
: ####,9,NimbusRomNo9L-Regu,,6,6
"column density, and the characterization of the soft
X-ray spectra. Its good energy resolution and signal-
to-noise ratio can be particularly useful for broadband
spectral modeling.",10,NimbusRomNo9L-Regu,,181,55
"In this paper, we give an overview of some notable
scientiﬁc results which required a signiﬁcant role of
SXT. In sections 2., 3., 4., 5., 6., 7. and 8., we mention
results on black hole X-ray binaries (BHXBs), neutron
star low-mass X-ray binaries (LMXBs), neutron star
high-mass X-ray binaries (HMXBs), ultra-luminous X-
ray pulsars (ULPs), cataclysmic variables (CVs), active
galactic nuclei (AGNs) and stars, respectively. In sec-
tion 9., we make concluding remarks.",10,NimbusRomNo9L-Regu,,469,58
2. Black hole X-ray binaries,10,NimbusRomNo9L-Medi,,28,28
"Astronomical black holes are characterized by two pa-
rameters, mass and spin, and hence the measurement",10,NimbusRomNo9L-Regu,,104,53
"of these parameters is essential to probe the fundamen-
tal physics of these objects (e.g., Middleton, 2016). A
black hole X-ray binary, i.e., a stellar-mass black hole
accreting matter from a companion star, is particularly
useful for this purpose, as well as to test a theory of
gravitation and to probe the inﬂow and outﬂow of mat-
ter and its emission in an extremely strong gravitational
ﬁeld.",10,NimbusRomNo9L-Regu,,398,57
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"SXT can be very useful to study soft X-
ray continuum spectra and spectral lines from BHXBs,
to measure their temporal variations and to track their
evolution through various states. This telescope is par-
ticularly capable to characterize the accretion disk and
reﬂection spectra, which can be used to estimate black
hole parameter values. Here, we will give a few exam-
ples.",10,NimbusRomNo9L-Regu,,377,56
A transient BHXB 4U 1630–47 was observed with,10,NimbusRomNo9L-Regu,,45,45
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"during its 2016 outburst. The source was
found in a very soft state with an accretion disk con-
tribution of",10,NimbusRomNo9L-Regu,,108,54
∼,10,txsy,,1,1
"97% to the total ﬂux. Such a source state
is ideal to measure the black hole spin from the disk",10,NimbusRomNo9L-Regu,,95,53
"inner edge radius estimated from the disk spectral com-
ponent. SXT was particularly useful to characterize the
disk spectrum, having covered its peak and both sides
better than other instruments (see Fig. 1). Using the
XSPEC",10,NimbusRomNo9L-Regu,,225,55
2,7,NimbusRomNo9L-Regu,,1,1
kerrbb,10,txtt,,6,6
"model for the relativistic disk black-
body to ﬁt",10,NimbusRomNo9L-Regu,,49,38
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
SXT,10,NimbusRomNo9L-Regu,,3,3
+,10,rtxr,,1,1
"LAXPC and contemporane-
ous",10,NimbusRomNo9L-Regu,,27,23
Chandra,10,NimbusRomNo9L-ReguItal,,7,7
"High Energy Grating (HEG) spectra, the
dimensionless black hole spin parameter was measured
to be 0",10,NimbusRomNo9L-Regu,,99,52
.,10,rtxmi,,1,1
92,10,NimbusRomNo9L-Regu,,2,2
±,10,txsy,,1,1
0,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
04 with 99,10,NimbusRomNo9L-Regu,,10,10
.,10,rtxmi,,1,1
7% conﬁdence (Pahari,10,NimbusRomNo9L-Regu,,20,20
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2018a). Similarly, a characterization of the thermal disk",10,NimbusRomNo9L-Regu,,60,57
spectrum of the persistent BHXB LMC X–1 with SXT,10,NimbusRomNo9L-Regu,,48,48
2,5,NimbusRomNo9L-Regu,,1,1
https:,8,NimbusRomNo9L-Regu,,6,6
//,8,rtxr,,2,2
heasarc.gsfc.nasa.gov,8,NimbusRomNo9L-Regu,,21,21
/,8,rtxr,,1,1
xanadu,8,NimbusRomNo9L-Regu,,6,6
/,8,rtxr,,1,1
xspec,8,NimbusRomNo9L-Regu,,5,5
/,8,rtxr,,1,1
"led to a measurement of the black hole spin parameter
of",10,NimbusRomNo9L-Regu,,56,53
∼,10,txsy,,1,1
0,10,NimbusRomNo9L-Regu,,1,1
.,10,rtxmi,,1,1
93 (Mudambi,10,NimbusRomNo9L-Regu,,11,11
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020a).",10,NimbusRomNo9L-Regu,,10,10
"The ability of SXT to characterize both the disk
blackbody spectral component and the relativistic Fe
K",10,NimbusRomNo9L-Regu,,103,52
α,10,rtxmi,,1,1
"emission line of the reﬂection spectral compo-
nent was crucial to measure mass and spin param-
eters of the transient BHXB MAXI J1535–571 (see
Fig. 2; Sridhar",10,NimbusRomNo9L-Regu,,159,48
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2019). More recently,",10,NimbusRomNo9L-Regu,,24,24
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
(SXT,10,NimbusRomNo9L-Regu,,4,4
+,10,rtxr,,1,1
LAXPC,10,NimbusRomNo9L-Regu,,5,5
+,10,rtxr,,1,1
CZTI) and contemporaneous,10,NimbusRomNo9L-Regu,,25,25
NuSTAR,10,NimbusRomNo9L-ReguItal,,6,6
"data were used to characterize another transient BHXB
MAXI J1820",10,NimbusRomNo9L-Regu,,64,53
+,10,rtxr,,1,1
"070. The black hole mass was estimated
to be 6",10,NimbusRomNo9L-Regu,,46,38
.,10,rtxmi,,1,1
7,10,NimbusRomNo9L-Regu,,1,1
−,10,txsy,,1,1
13,10,NimbusRomNo9L-Regu,,2,2
.,10,rtxmi,,1,1
9 M,10,NimbusRomNo9L-Regu,,3,3
⊙,7,txsy,,1,1
", and SXT, being the only instrument
in this work providing",10,NimbusRomNo9L-Regu,,59,36
<,10,rtxmi,,1,1
"3 keV data and hence being
able to reliably ﬁt the disk spectral component, was cru-
cial for this estimation (Chakraborty",10,NimbusRomNo9L-Regu,,122,57
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020). Note
that this mass range derived from the spectral ﬁtting
is consistent with the results obtained from dynamical
measurements (Torres",10,NimbusRomNo9L-Regu,,144,54
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2019, 2020).",10,NimbusRomNo9L-Regu,,15,15
"In addition to the above examples, several other",10,NimbusRomNo9L-Regu,,48,48
"publications have reported the characterization of
BHXB spectral and timing properties with",10,NimbusRomNo9L-Regu,,91,50
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"sci-
ence instruments, including SXT (e.g., Maqbool",10,NimbusRomNo9L-Regu,,51,46
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2019; Bhargava",10,NimbusRomNo9L-Regu,,17,14
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2019; Sreehari",10,NimbusRomNo9L-Regu,,17,17
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2019,
2020; Mudambi",10,NimbusRomNo9L-Regu,,22,13
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020b; Baby",10,NimbusRomNo9L-Regu,,14,14
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020). SXT
was also useful to probe the formation of a giant radio
jet base and to measure the orbital period parameters of
the X-ray binary Cygnus X–3, for which the nature of
the compact object is not yet conﬁrmed (Pahari",10,NimbusRomNo9L-Regu,,226,56
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2018b; Bhargava",10,NimbusRomNo9L-Regu,,18,15
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2017).",10,NimbusRomNo9L-Regu,,9,9
3. Neutron star low-mass X-ray binaries,10,NimbusRomNo9L-Medi,,39,39
"A neutron star LMXB is a binary system in which the
neutron star accretes matter from a low-mass star. In
such a system, the magnetic ﬁeld of the neutron star
is typically low (",10,NimbusRomNo9L-Regu,,177,53
∼,10,txsy,,1,1
10,10,NimbusRomNo9L-Regu,,2,2
7,7,NimbusRomNo9L-Regu,,1,1
−,7,txsy,,1,1
9,7,NimbusRomNo9L-Regu,,1,1
"G), and hence the accre-
tion disk can extend almost up to the stellar surface.
Consequently, a number of features, such as thermonu-
clear X-ray bursts, high-frequency quasi-periodic os-",10,NimbusRomNo9L-Regu,,187,54
"cillations, accretion-powered millisecond period pulsa-
tions, etc., are sometimes observed from these sources,
which can be useful to probe the strong gravity regime
and the superdense degenerate core matter of neutron
stars (Bhattacharyya, 2010).",10,NimbusRomNo9L-Regu,,248,55
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"science instruments, including SXT, are
ideal to study various spectral and timing properties of
neutron star LMXBs, and their evolution. For example,
the combined spectra from",10,NimbusRomNo9L-Regu,,176,56
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
(SXT,10,NimbusRomNo9L-Regu,,4,4
+,10,rtxr,,1,1
"LAXPC)
and",10,NimbusRomNo9L-Regu,,10,6
XMM-Newton,10,NimbusRomNo9L-ReguItal,,10,10
(EPIC-PN) observations of the neu-,10,NimbusRomNo9L-Regu,,34,34
tron star LMXB SAX J1748.9–2021 suggested the,10,NimbusRomNo9L-Regu,,45,45
presence of reﬂection features (Sharma,10,NimbusRomNo9L-Regu,,38,38
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020).
Fig. 3 shows that the spectra measured with SXT and",10,NimbusRomNo9L-Regu,,61,51
XMM-Newton,10,NimbusRomNo9L-ReguItal,,10,10
EPIC-PN match well with each other.,10,NimbusRomNo9L-Regu,,35,35
J. Astrophys. Astr.,9,NimbusRomNo9L-ReguItal,,19,19
(0000),9,NimbusRomNo9L-Regu,,6,6
000,9,NimbusRomNo9L-Medi,,3,3
: ####,9,NimbusRomNo9L-Regu,,6,6
Page 3 of 1 ####,9,NimbusRomNo9L-Regu,,16,16
),2,Helvetica,,1,1
1,2,Helvetica,,1,1
−,2,Helvetica,,1,1
V,5,Helvetica,,1,1
e,4,Helvetica,,1,1
k,3,Helvetica,,1,1
,2,Helvetica,,0,0
1,2,Helvetica,,1,1
−,2,Helvetica,,1,1
s,3,Helvetica,,1,1
,2,Helvetica,,0,0
2,2,Helvetica,,1,1
−,2,Helvetica,,1,1
m,6,Helvetica,,1,1
c,3,Helvetica,,1,1
,2,Helvetica,,0,0
s,3,Helvetica,,1,1
"n
o",4,Helvetica,,3,1
t,2,Helvetica,,1,1
"o
h",4,Helvetica,,3,1
P,5,Helvetica,,1,1
(,2,Helvetica,,1,1
,2,Helvetica,,0,0
V,5,Helvetica,,1,1
e,4,Helvetica,,1,1
k,3,Helvetica,,1,1
:,2,Helvetica,,1,1
x,3,Helvetica,,1,1
u,4,Helvetica,,1,1
l,1,Helvetica,,1,1
f,2,Helvetica,,1,1
y,3,Helvetica,,1,1
a,4,Helvetica,,1,1
r,2,Helvetica,,1,1
−,4,Helvetica,,1,1
X,5,Helvetica,,1,1
1,4,Helvetica,,1,1
1,4,Helvetica,,1,1
.,2,Helvetica,,1,1
0,4,Helvetica,,1,1
"1
0",4,Helvetica,,3,1
.,2,Helvetica,,1,1
0,4,Helvetica,,1,1
3,2,Helvetica,,1,1
−,2,Helvetica,,1,1
"0
1",4,Helvetica,,3,1
4,2,Helvetica,,1,1
−,2,Helvetica,,1,1
"0
1",4,Helvetica,,3,1
"Chandra/HEG
 AstroSat/SXT",7,Helvetica,,25,13
"AstroSat/LAXPC10
AstroSat/LAXPC20",7,Helvetica,,33,16
1,7,Helvetica,,1,1
2,7,Helvetica,,1,1
5,7,Helvetica,,1,1
10,7,Helvetica,,2,2
20,7,Helvetica,,2,2
Energy (keV),7,Helvetica,,12,12
Figure 1,9,NimbusRomNo9L-Medi,,8,8
. Joint ﬁtting of X-ray spectra of the BHXB 4U 1630–47 from,9,NimbusRomNo9L-Regu,,59,59
AstroSat,9,NimbusRomNo9L-ReguItal,,8,8
"SXT, two LAXPC detectors (LAXPC10
and LAXPC20) and",9,NimbusRomNo9L-Regu,,50,33
Chandra,9,NimbusRomNo9L-ReguItal,,7,7
"High Energy Grating (HEG). An absorbed, relativistic, disk blackbody model with Gaussian
absorption features and convolved with a Comptonization model is used for ﬁtting. The source was in a soft state with a disk
ﬂux fraction of",9,NimbusRomNo9L-Regu,,229,124
∼,9,txsy,,1,1
0,9,NimbusRomNo9L-Regu,,1,1
.,9,rtxmi,,1,1
"97. It can be seen that SXT covers the spectrum and its peak better than other instruments, which was
particularly useful to measure the black hole spin (see section 2.; ﬁgure courtesy: Mayukh Pahari; Pahari",9,NimbusRomNo9L-Regu,,207,105
et al,9,NimbusRomNo9L-ReguItal,,5,5
"., 2018a).",9,NimbusRomNo9L-Regu,,10,10
Another work on the neutron star LMXB GX 17,10,NimbusRomNo9L-Regu,,43,43
+,10,rtxr,,1,1
"2
demonstrated that SXT not only is suitable for spec-
tral and timing studies in soft X-rays, but also can be
used for spectro-timing analyses (Malu",10,NimbusRomNo9L-Regu,,149,55
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020). In
this paper, the cross-correlation studies using SXT and
LAXPC light curves showed time lags of the order of a
hundred seconds.",10,NimbusRomNo9L-Regu,,139,55
4. Neutron star high-mass X-ray binaries,10,NimbusRomNo9L-Medi,,40,40
"A neutron star HMXB is a binary system in which the
neutron star accretes matter from a high-mass star (e.g.,
Walter",10,NimbusRomNo9L-Regu,,116,57
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2015).
In such a system, the magnetic
ﬁeld of the neutron star is usually high (",10,NimbusRomNo9L-Regu,,83,42
∼,10,txsy,,1,1
10,10,NimbusRomNo9L-Regu,,2,2
12,7,NimbusRomNo9L-Regu,,2,2
"G),
and hence the accretion disk is typically truncated far
from the star. As a result, the accreted matter is chan-
neled on to the magnetic polar caps, making the source
a pulsar. These systems are ideal to study an interac-",10,NimbusRomNo9L-Regu,,226,56
"tion between the accreted matter and the strong stel-
lar magnetic ﬁeld. Several neutron star HMXBs, for
example, 4U 0728–25, GRO J2058",10,NimbusRomNo9L-Regu,,135,53
+,10,rtxr,,1,1
"42, 4U 1909",10,NimbusRomNo9L-Regu,,11,11
+,10,rtxr,,1,1
"07,
have been observed with",10,NimbusRomNo9L-Regu,,27,23
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
", and SXT was used
to characterize the broadband spectra and pulse proﬁles
in soft X-rays (Roy",10,NimbusRomNo9L-Regu,,94,55
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020; Mukerjee",10,NimbusRomNo9L-Regu,,17,17
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020;
Jaisawal",10,NimbusRomNo9L-Regu,,17,8
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020).",10,NimbusRomNo9L-Regu,,9,9
5. Ultra-luminous X-ray pulsars,10,NimbusRomNo9L-Medi,,31,31
"Ultra-luminous X-ray sources (ULXs), given their lu-
minosities typically exceeding 10",10,NimbusRomNo9L-Regu,,86,52
39,7,NimbusRomNo9L-Regu,,2,2
erg s,10,NimbusRomNo9L-Regu,,5,5
−,7,txsy,,1,1
1,7,NimbusRomNo9L-Regu,,1,1
", could be
accreting intermediate-mass black holes, or neutron",10,NimbusRomNo9L-Regu,,62,51
"stars or stellar-mass black holes having accretion with
super-Eddington rates. A subset of ULXs have been
conﬁrmed to be accreting neutron stars from the ob-
served spin-induced brightness pulsations, and they are
known as ultra-luminous X-ray pulsars (ULPs; e.g.,
King",10,NimbusRomNo9L-Regu,,269,55
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2017).",10,NimbusRomNo9L-Regu,,9,9
"The characterization of the ﬁrst Galactic ULP, Swift
J0243.6",10,NimbusRomNo9L-Regu,,60,52
+,10,rtxr,,1,1
"6124, can therefore be extremely useful to un-
derstand this important class of sources.",10,NimbusRomNo9L-Regu,,88,46
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"ob-
served the 2017-2018 outburst of Swift J0243.6",10,NimbusRomNo9L-Regu,,50,46
+,10,rtxr,,1,1
"6124,
and characterized its broadband spectrum, as well as
energy-dependent and luminosity-dependent pulse pro-
ﬁles in the energy range of 0",10,NimbusRomNo9L-Regu,,141,52
.,10,rtxmi,,1,1
3,10,NimbusRomNo9L-Regu,,1,1
−,10,txsy,,1,1
150 keV (Beri,10,NimbusRomNo9L-Regu,,13,13
et al,10,NimbusRomNo9L-ReguItal,,5,5
".,
2021). SXT was particularly useful to measure the con-
tinuum spectrum, as well as pulse proﬁles (see Fig. 4),
in soft X-rays. Besides, recent observations of the Be
X-ray binary and pulsar RX J0209.6–7427 with",10,NimbusRomNo9L-Regu,,213,55
"As-
troSat",10,NimbusRomNo9L-ReguItal,,10,6
"SXT and LAXPC have indicated that its spectral
and timing properties are remarkably similar to those",10,NimbusRomNo9L-Regu,,100,53
"of ULXs, suggesting that this source could be a ULP
(Chandra",10,NimbusRomNo9L-Regu,,60,51
et al,10,NimbusRomNo9L-ReguItal,,5,5
"., 2020).",10,NimbusRomNo9L-Regu,,9,9
6. Cataclysmic variables,10,NimbusRomNo9L-Medi,,24,24
AstroSat,10,NimbusRomNo9L-ReguItal,,8,8
"SXT can characterize spectral and temporal
properties of cataclysmic variables (CVs), i.e., accret-
ing white dwarfs. A sub-type of such binary systems,
in which the white dwarf accretes matter from a red
giant donor star via an accretion disk, can have explo-
sive thermonuclear burning of the accumulated hydro-
gen rich material. This may lead to an outburst with a
massive ejection of the material at velocities",10,NimbusRomNo9L-Regu,,415,56
≥,10,txsy,,1,1
300 km,10,NimbusRomNo9L-Regu,,6,6
#### Page 4 of 1,9,NimbusRomNo9L-Regu,,16,16
J. Astrophys. Astr.,9,NimbusRomNo9L-ReguItal,,19,19
(0000),9,NimbusRomNo9L-Regu,,6,6
000,9,NimbusRomNo9L-Medi,,3,3
